Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767854744,130,POST,ml-image-processing-create,47.833333,0.000000,540,850,1100,1200,1600,1900,2200,2300,2400,2400,2400,433,0,560.0,754.6776135432734,87.0920168235898,2431.305055040866,50.0
1767854744,130,E2E,ml-image-processing-e2e,43.666667,4.666667,1100,1400,1800,2000,2700,4000,4600,4600,4800,4800,4800,405,28,1100.0,1443.3069425853498,397.3643919453025,4794.237052090466,0.0
1767854744,130,,Aggregated,91.500000,4.666667,830,1200,1400,1600,2100,2600,4300,4600,4800,4800,4800,838,28,830.0,1087.487730801079,87.0920168235898,4794.237052090466,25.83532219570406
1767854745,130,POST,ml-image-processing-create,51.222222,0.000000,540,820,1100,1200,1500,1900,2200,2300,2400,2400,2400,570,0,540.0,727.2956582962682,87.0920168235898,2431.305055040866,50.0
1767854745,130,E2E,ml-image-processing-e2e,49.333333,3.111111,1000,1300,1500,1700,2300,3000,4500,4600,4800,4800,4800,547,28,1000.0,1339.2291850779866,397.3643919453025,4794.237052090466,0.0
1767854745,130,,Aggregated,100.555556,3.111111,820,1100,1300,1500,1900,2300,3700,4500,4800,4800,4800,1117,28,820.0,1026.9623003281392,87.0920168235898,4794.237052090466,25.51477170993733
1767854746,130,POST,ml-image-processing-create,52.555556,0.000000,540,820,1100,1200,1500,1800,2200,2300,2400,2400,2400,623,0,550.0,721.8445800050471,87.0920168235898,2431.305055040866,50.0
1767854746,130,E2E,ml-image-processing-e2e,50.333333,3.111111,1000,1300,1500,1700,2300,2900,4500,4600,4800,4800,4800,599,28,1000.0,1316.4427916648392,397.3643919453025,4794.237052090466,0.0
1767854746,130,,Aggregated,102.888889,3.111111,820,1100,1300,1400,1900,2300,3600,4300,4800,4800,4800,1222,28,820.0,1013.3047508595606,87.0920168235898,4794.237052090466,25.49099836333879
1767854747,130,POST,ml-image-processing-create,52.555556,0.000000,540,820,1100,1200,1500,1800,2200,2300,2400,2400,2400,623,0,550.0,721.8445800050471,87.0920168235898,2431.305055040866,50.0
1767854747,130,E2E,ml-image-processing-e2e,50.333333,3.111111,1000,1300,1500,1700,2300,2900,4500,4600,4800,4800,4800,599,28,1000.0,1316.4427916648392,397.3643919453025,4794.237052090466,0.0
1767854747,130,,Aggregated,102.888889,3.111111,820,1100,1300,1400,1900,2300,3600,4300,4800,4800,4800,1222,28,820.0,1013.3047508595606,87.0920168235898,4794.237052090466,25.49099836333879
