group,n,latency_p99_mean,latency_p99_std,latency_p99_min,latency_p99_max,latency_p99_ci90_hw,latency_p99_p10,latency_p99_p50,latency_p99_p90,latency_p99_p95,latency_p99_p99,energy_cost_mean,energy_cost_std,energy_cost_min,energy_cost_max,energy_cost_ci90_hw,energy_cost_p10,energy_cost_p50,energy_cost_p90,energy_cost_p95,energy_cost_p99,money_cost_mean,money_cost_std,money_cost_min,money_cost_max,money_cost_ci90_hw,money_cost_p10,money_cost_p50,money_cost_p90,money_cost_p95,money_cost_p99,latency_p99_ci90_lo,latency_p99_ci90_hi,energy_cost_ci90_lo,energy_cost_ci90_hi,money_cost_ci90_lo,money_cost_ci90_hi
default,3,1.6403487528053422,0.13392115042750494,1.4875002591870725,1.737092399969697,0.22577156885011632,1.5292909272015094,1.6964535992592573,1.728964639827609,1.733028519898653,1.7362796239554883,217.114445132401,4.3271525306644465,212.27037958474114,220.59738353403992,7.294949396590713,213.51141812347728,218.47557227842188,220.17302128291632,220.3852024084781,220.55494730892755,11920.704892589316,207.85833923364748,11771.009224352614,12158.028861485504,350.4189084215201,11783.422697868056,11833.076591929828,12093.038407574368,12125.533634529937,12151.52981609439,1.414577183955226,1.8661203216554585,209.81949573581028,224.4093945289917,11570.285984167796,12271.123801010835
energy,3,1.6985535332933068,0.14840785743275448,1.5853683189488947,1.8665764890611172,0.25019404847791543,1.5970378135330976,1.6437157918699086,1.8220043496228755,1.8442904193419962,1.862119275117293,218.39950069497658,8.763457032653651,213.1901880042744,228.51717741372167,14.77391313094964,213.25037773680626,213.49113666693364,225.51196926436407,227.01457333904287,228.2166565987859,13210.585028167943,1110.5489466551637,11932.594589614006,13941.091406001824,1872.2238957087459,12297.689489468805,13758.069088887998,13904.486942579058,13922.789174290441,13937.430959659547,1.4483594848153913,1.9487475817712223,203.62558756402694,233.17341382592622,11338.361132459197,15082.80892387669
