hour,hour_invocation,hour_of_day,day_of_week
87,65.44117647058823,15,3
88,66.98529411764706,16,3
89,64.99599839935975,17,3
90,61.43790849673203,18,3
91,76.09477124183007,19,3
92,82.58986928104575,20,3
93,87.88398692810458,21,3
94,89.97549019607844,22,3
95,63.36601307189542,23,3
96,43.61111111111111,0,4
97,30.130718954248366,1,4
98,12.696078431372548,2,4
99,12.165032679738562,3,4
100,5.285947712418301,4,4
101,4.983660130718954,5,4
102,5.40032679738562,6,4
103,18.137254901960784,7,4
104,31.52777777777778,8,4
105,48.431372549019606,9,4
106,59.18300653594771,10,4
107,67.63071895424837,11,4
108,61.86274509803922,12,4
109,59.93464052287582,13,4
110,58.13725490196078,14,4
111,58.34995014955135,15,4
112,65.33496732026144,16,4
113,62.017973856209146,17,4
114,67.25277067348678,18,4
115,76.64807302231237,19,4
116,84.63235294117648,20,4
117,86.89542483660131,21,4
118,80.45751633986927,22,4
119,66.45424836601308,23,4
120,49.681372549019606,0,5
121,35.678104575163395,1,5
122,28.031045751633986,2,5
123,12.75326797385621,3,5
124,6.601307189542483,4,5
125,5.5392156862745106,5,5
126,9.959150326797385,6,5
127,29.795751633986928,7,5
128,53.30882352941176,8,5
129,68.21078431372548,9,5
130,85.81699346405229,10,5
131,94.93464052287582,11,5
132,84.96434937611409,12,5
133,89.06862745098039,13,5
134,77.56930358350236,14,5
135,80.2608543417367,15,5
136,83.73827791986359,16,5
137,75.73529411764706,17,5
138,90.48202614379085,18,5
139,105.26960784313725,19,5
140,109.11764705882352,20,5
141,108.04738562091504,21,5
142,100.08986928104575,22,5
143,83.7091503267974,23,5
144,54.428104575163395,0,6
145,34.91013071895425,1,6
146,15.955882352941178,2,6
147,8.537581699346406,3,6
148,5.302287581699346,4,6
149,10.351307189542485,5,6
150,7.761437908496732,6,6
151,21.429738562091504,7,6
152,39.689542483660134,8,6
153,59.63488843813388,9,6
154,59.97198879551821,10,6
155,68.14839572192513,11,6
156,66.33169934640523,12,6
157,67.26307189542484,13,6
158,65.53104575163398,14,6
159,68.03104575163398,15,6
160,74.86928104575163,16,6
161,80.34591194968553,17,6
162,96.50326797385621,18,6
163,104.16666666666667,19,6
164,113.06022408963585,20,6
165,112.07741717376605,21,6
166,106.90359477124183,22,6
167,88.44771241830065,23,6
168,66.12745098039215,0,0
169,41.75653594771242,1,0
170,23.21078431372549,2,0
171,11.715686274509805,3,0
172,7.663398692810458,4,0
173,11.299019607843139,5,0
174,12.369281045751633,6,0
175,22.924836601307188,7,0
176,48.27614379084967,8,0
