hour,hour_invocation,hour_of_day,day_of_week
3689,358.76666666666665,17,6
3690,296.1666666666667,18,6
3691,250.91666666666666,19,6
3692,279.65,20,6
3693,244.5,21,6
3694,257.4,22,6
3695,277.1666666666667,23,6
3696,195.25,0,0
3697,188.98333333333332,1,0
3698,152.9,2,0
3699,151.08333333333334,3,0
3700,158.98333333333332,4,0
3701,160.13333333333333,5,0
3702,152.75,6,0
3703,175.81666666666666,7,0
3704,186.15,8,0
3705,227.1,9,0
3706,324.6333333333333,10,0
3707,333.8333333333333,11,0
3708,322.45,12,0
3709,298.1333333333333,13,0
3710,266.1,14,0
3711,295.6666666666667,15,0
3712,301.3833333333333,16,0
3713,289.3,17,0
3714,309.9,18,0
3715,270.3333333333333,19,0
3716,234.58333333333334,20,0
3717,225.25,21,0
3718,212.8,22,0
3719,244.43333333333334,23,0
3720,245.56666666666666,0,1
3721,214.61666666666667,1,1
3722,194.13333333333333,2,1
3723,183.05,3,1
3724,204.73333333333332,4,1
3725,210.85,5,1
3726,173.63333333333333,6,1
3727,207.83333333333334,7,1
3728,192.8,8,1
3729,210.48333333333332,9,1
3730,280.25,10,1
3731,325.85,11,1
3732,330.05,12,1
3733,315.46666666666664,13,1
3734,321.5833333333333,14,1
3735,279.5833333333333,15,1
3736,310.73333333333335,16,1
3737,286.0833333333333,17,1
3738,259.06666666666666,18,1
3739,243.75,19,1
3740,246.16666666666666,20,1
3741,219.91666666666666,21,1
3742,210.95,22,1
3743,234.18333333333334,23,1
3744,206.53333333333333,0,2
3745,188.25,1,2
3746,192.53333333333333,2,2
3747,193.7,3,2
3748,166.38333333333333,4,2
3749,146.51666666666668,5,2
3750,169.8,6,2
3751,160.81666666666666,7,2
3752,192.41666666666666,8,2
3753,266.73333333333335,9,2
3754,350.0,10,2
3755,385.45,11,2
3756,364.18333333333334,12,2
3757,321.95,13,2
3758,328.9166666666667,14,2
3759,368.46666666666664,15,2
3760,419.46666666666664,16,2
3761,405.85,17,2
3762,419.68333333333334,18,2
3763,344.06666666666666,19,2
3764,303.35,20,2
3765,282.9166666666667,21,2
3766,318.46666666666664,22,2
3767,408.18333333333334,23,2
3768,365.15,0,3
3769,127.4,1,3
3770,137.01666666666668,2,3
3771,132.35,3,3
3772,82.91666666666667,4,3
3773,62.11666666666667,5,3
3774,107.23333333333333,6,3
3775,110.9,7,3
3776,151.96666666666667,8,3
3777,224.06666666666666,9,3
3778,433.31666666666666,10,3
3779,442.28333333333336,11,3
3780,418.6166666666667,12,3
3781,390.21666666666664,13,3
3782,360.6666666666667,14,3
3783,408.93333333333334,15,3
3784,378.06666666666666,16,3
3785,360.48333333333335,17,3
3786,286.3333333333333,18,3
3787,390.18333333333334,19,3
3788,281.4,20,3
3789,233.01666666666668,21,3
3790,202.48333333333332,22,3
3791,267.71666666666664,23,3
3792,170.78333333333333,0,4
3793,171.76666666666668,1,4
3794,163.15,2,4
3795,198.41666666666666,3,4
3796,103.46666666666667,4,4
3797,94.95,5,4
3798,113.83333333333333,6,4
3799,123.61666666666666,7,4
3800,124.05,8,4
3801,217.71666666666667,9,4
3802,365.45,10,4
3803,448.7,11,4
3804,404.51666666666665,12,4
3805,369.43333333333334,13,4
3806,348.96666666666664,14,4
3807,373.51666666666665,15,4
3808,336.8,16,4
3809,377.71666666666664,17,4
3810,359.3666666666667,18,4
3811,328.6,19,4
3812,244.96666666666667,20,4
3813,248.98333333333332,21,4
3814,234.98333333333332,22,4
3815,268.1166666666667,23,4
3816,153.71666666666667,0,5
3817,164.7,1,5
3818,185.3,2,5
3819,213.7,3,5
3820,211.58333333333334,4,5
3821,177.58333333333334,5,5
3822,178.71666666666667,6,5
3823,182.61666666666667,7,5
3824,149.0,8,5
3825,283.6666666666667,9,5
3826,335.48333333333335,10,5
3827,419.01666666666665,11,5
3828,214.25,12,5
3829,185.88333333333333,13,5
3830,200.95,14,5
3831,229.08333333333334,15,5
3832,203.71666666666667,16,5
3833,202.41666666666666,17,5
3834,173.68333333333334,18,5
3835,151.86666666666667,19,5
3836,145.15,20,5
3837,122.3,21,5
3838,134.9,22,5
3839,167.98333333333332,23,5
3840,88.4,0,6
3841,13.2,1,6
3842,18.5,2,6
3843,14.966666666666667,3,6
3844,17.5,4,6
3845,13.783333333333333,5,6
3846,22.733333333333334,6,6
3847,33.53333333333333,7,6
3848,56.21666666666667,8,6
3849,92.13333333333334,9,6
3850,203.41666666666666,10,6
3851,242.56666666666666,11,6
3852,346.56666666666666,12,6
3853,347.68333333333334,13,6
3854,314.7,14,6
3855,312.45,15,6
3856,210.46666666666667,16,6
3857,220.06666666666666,17,6
3858,316.98333333333335,18,6
3859,141.23333333333332,19,6
3860,108.4,20,6
3861,100.66666666666667,21,6
3862,101.95,22,6
