x_last_hour,x_start_hour,predicted_raw,predicted_refined,target,ci_lo,ci_hi,error_rate_refined_%,n_resid_in_window,qhat_used,abs_resid_mean,abs_resid_max
195.0,158.0,195.27879333496094,195.27879333496094,205.0,195.27879333496094,195.27879333496094,4.74205207824707,1,,,
116.0,180.0,116.27879333496094,116.27879333496094,118.0,116.27879333496094,116.27879333496094,1.458649754524231,2,,9.721206665039062,9.721206665039062
218.0,186.0,218.2615966796875,218.2615966796875,201.0,218.2615966796875,218.2615966796875,8.587859153747559,3,,5.7212066650390625,9.721206665039062
88.0,76.0,88.27879333496094,88.27879333496094,70.0,88.27879333496094,88.27879333496094,26.11256217956543,4,,9.568003336588541,17.2615966796875
35.00000762939453,63.0,35.27880096435547,35.27880096435547,23.0,35.27880096435547,35.27880096435547,53.38609313964844,5,,11.74570083618164,18.278793334960938
33.0,61.0,33.27879333496094,20.99999237060547,30.0,15.0,43.0,30.000025431315102,6,17.871914672851563,11.852320861816406,18.278793334960938
261.0,188.0,261.2787780761719,257.99998474121094,191.0,242.99998474121094,270.99998474121094,35.07852604251882,7,17.77019500732422,10.423399607340494,18.278793334960938
84.0,21.00000762939453,84.27166748046875,71.99286651611328,69.0,13.992889404296875,93.99287414550781,4.337487704512002,8,39.07878723144533,18.97416796003069,70.27877807617188
204.0,154.0,204.2210693359375,188.94940185546875,231.0,133.94229125976562,213.94227600097656,18.20372214048972,9,33.87878875732421,18.51135540008545,70.27877807617188
149.0,144.0,149.27719116210938,136.9983901977539,173.0,78.9984130859375,176.05612182617188,20.81017907644283,10,35.478900146484385,19.429974873860676,70.27877807617188
109.0,46.00000762939453,109.24969482421875,105.97090148925781,121.0,38.970916748046875,136.02862548828125,12.420742570861313,11,31.12891540527342,19.859258270263673,70.27877807617188
174.0,230.0,174.26878356933594,170.989990234375,175.0,103.99000549316406,201.04771423339844,2.2914341517857144,12,26.7789306640625,19.122080716219816,70.27877807617188
147.0,185.0,147.25872802734375,143.9799346923828,136.0,76.97994995117188,174.03765869140625,5.867599038516774,13,26.473318481445315,17.589508692423504,70.27877807617188
146.0,177.0,146.3961944580078,143.11740112304688,126.0,76.11741638183594,173.1751251220703,13.58523898654514,14,26.167706298828126,17.102525564340446,70.27877807617188
150.0,230.0,150.27879333496094,139.0200653076172,198.0,80.00001525878906,177.05772399902344,29.787845804233744,15,25.86209411621094,17.337787628173828,70.27877807617188
171.0,175.0,171.2723846435547,167.99359130859375,235.0,100.99360656738281,218.99359130859375,28.513365400598406,15,39.34429626464843,19.363348897298177,70.27877807617188
77.0,19.0,77.27879333496094,74.0,71.0,7.0000152587890625,141.00640869140625,4.225352112676056,15,57.32505187988281,22.96377614339193,70.27877807617188
184.0,159.0,184.76402282714844,178.4852294921875,191.0,114.48524475097656,248.49163818359375,6.552235867964659,15,57.32505187988281,23.267615254720052,70.27877807617188
19.0,37.0,19.275535583496094,15.996742248535156,10.000007629394531,-51.00324249267578,83.0031509399414,59.96730043998685,15,57.32505187988281,22.532573954264322,70.27877807617188
