idx,x_last_hour,x_start_hour,point_pred,pred_refined,target,ci_lower,ci_upper,error_rate_refined_pct
73,51.149734,30.006687,28.504326,29.87441,40.16043,21.045752,29.874413,25.612324
74,40.16043,16.711231,17.181488,28.837591,22.934494,18.551573,28.837593,25.738945
75,22.934494,9.177811,8.7887,20.444803,11.504017,14.541705,20.444805,77.71883
76,11.504017,5.5213966,5.4739227,8.189241,7.1256714,8.189238,11.22693,14.925893
77,7.1256714,4.271393,4.79895,6.4507003,7.3128357,6.4506974,7.514268,11.789345
78,7.3128357,8.4492,9.435177,11.086927,7.8609657,11.086925,11.949063,41.037727
79,7.8609657,16.844921,17.01173,15.43752,16.584229,15.437517,19.525616,6.9144516
80,16.584229,37.627007,34.670715,34.243214,34.946526,33.096504,34.243214,2.0125375
81,34.946526,63.576206,56.464737,56.740547,70.44302,56.037235,56.740547,19.451859
82,70.44302,75.23511,73.71202,73.98783,92.02471,73.98783,87.69031,19.60004
83,92.02471,72.71594,74.73953,93.05222,101.03433,88.71782,93.05222,7.900393
84,101.03433,73.963905,72.36015,98.65495,97.17914,90.672844,98.65495,1.518654
85,97.17914,66.704544,70.43292,95.25191,86.397064,95.25191,96.72772,10.249009
86,86.397064,66.25668,70.78088,86.745026,85.82219,86.745026,95.59987,1.0752887
87,85.82219,74.72594,73.87036,88.91167,95.205605,88.91167,89.8345,6.61089
88,95.205605,83.57459,78.04412,99.379364,87.50668,93.08543,99.379364,13.567741
89,87.50668,78.55615,83.99138,105.32662,84.612305,93.45394,105.32662,24.48145
90,84.612305,74.99309,89.51503,90.135956,84.92647,90.135956,98.97759,6.1341157
91,84.92647,80.42781,98.360825,93.77226,90.27406,93.77226,98.98175,3.875088
92,90.27406,96.1631,108.67896,100.5922,102.09893,100.5922,104.0904,1.4757541
93,102.09893,97.33957,110.53876,103.958725,93.917114,102.451996,103.958725,10.691992
94,93.917114,81.6377,103.83525,87.21361,94.24466,87.21361,97.25522,7.4604244
95,94.24466,68.382355,88.75484,79.164246,73.34893,72.133194,79.164246,7.928289
96,73.34893,51.149734,65.28265,49.876747,55.22059,49.876747,55.692062,9.677262
97,55.22059,40.16043,49.52483,39.46276,38.161766,34.118923,39.462765,3.409158
98,38.161766,22.934494,29.916721,18.55366,18.529415,18.553656,19.854658,0.13084228
99,18.529415,11.504017,15.429905,4.0426,10.207222,4.0425973,4.066842,60.394703
100,10.207222,7.1256714,9.298347,4.075663,7.573532,-2.0889602,4.075666,46.18544
101,7.573532,7.3128357,8.527378,3.3046978,5.728615,3.3046937,6.8025637,42.312447
102,5.728615,7.8609657,10.947475,8.148714,5.9692535,8.148711,9.222661,36.51144
103,5.9692535,16.584229,20.089046,15.110826,13.001343,15.110824,17.290285,16.225115
104,13.001343,34.946526,46.15724,39.069542,36.370323,39.06954,41.17902,7.421487
105,36.370323,70.44302,68.540405,58.75349,58.877007,58.753487,61.4527,0.20978662
106,58.877007,92.02471,86.68567,77.02227,79.37166,76.89875,77.02227,2.9599836
107,79.37166,101.03433,98.76188,91.44787,85.1423,89.09848,91.44787,7.405913
108,85.1423,97.17914,100.166145,86.54657,85.93583,86.54657,92.852135,0.71069384
109,85.93583,86.397064,100.28669,86.05637,85.51471,86.05637,86.667114,0.6334163
110,85.51471,85.82219,100.87261,86.10063,83.74332,86.10063,86.642296,2.8149292
111,83.74332,95.205605,101.07506,83.94576,86.61096,83.94576,86.30308,3.0772078
112,86.61096,87.50668,100.98926,86.52516,89.621445,83.85996,86.52516,3.4548461
113,89.621445,84.612305,100.94569,89.57787,89.786095,86.48159,89.57787,0.23190834
114,89.786095,84.92647,100.20384,88.83603,92.51337,88.83603,89.04425,3.9749258
115,92.51337,90.27406,100.002304,88.84271,82.83423,88.84271,92.31183,7.2536244
116,82.83423,102.09893,101.87523,84.70715,89.66578,84.70715,94.18475,5.530121
117,89.66578,93.917114,103.102806,90.89336,89.518715,85.93473,90.89336,1.5355911
118,89.518715,94.24466,98.279495,84.695404,83.64305,84.695404,86.070045,1.2581474
119,83.64305,73.34893,81.8958,67.25935,74.01738,67.25935,68.31171,9.130323
120,74.01738,55.22059,62.125824,47.48938,54.498665,47.48938,54.247406,12.861389
121,54.498665,38.161766,43.105503,35.47834,33.556152,35.227085,35.478344,5.7282724
122,33.556152,18.529415,25.71323,18.086067,21.744656,16.163877,18.086073,16.82523
123,21.744656,10.207222,14.485531,4.936182,12.733959,4.9361787,10.516957,61.236076
124,12.733959,7.573532,9.705261,7.9536886,6.798134,5.7366853,7.953691,16.998117
125,6.798134,5.728615,6.893894,3.986768,9.151073,3.9867656,5.142324,56.43388
126,9.151073,5.9692535,6.5705757,3.6634498,8.803482,3.663447,8.827757,58.386356
127,8.803482,13.001343,10.620605,12.877783,9.538773,12.853511,12.877787,35.00461
128,9.538773,36.370323,30.363518,29.281687,28.094923,29.281683,32.596424,4.224122
129,28.094923,58.877007,52.846916,50.578323,54.2246,50.578323,51.765087,6.7243986
130,54.2246,79.37166,71.90207,73.279755,70.347595,69.63348,73.279755,4.168102
131,70.347595,85.1423,89.46405,87.90958,84.12434,87.90958,90.841736,4.499578
132,84.12434,85.93583,92.04231,90.48784,80.26738,86.7026,90.48784,12.733017
133,80.26738,85.51471,92.452965,80.67803,80.1738,80.67803,87.11325,0.6289266
134,80.1738,83.74332,90.789734,78.51057,85.300804,78.51057,79.0148,7.9603443
135,85.300804,86.61096,89.85357,84.36464,88.19519,77.5744,84.36464,4.3432655
136,88.19519,89.621445,88.6911,87.03272,91.43048,83.20217,87.03272,4.809948
137,91.43048,89.786095,88.23947,86.58109,88.26203,86.58109,90.97885,1.9044869
138,88.26203,92.51337,88.42873,88.45129,81.45722,88.45129,91.168106,8.586181
139,81.45722,82.83423,88.66835,81.696846,84.11096,81.696846,88.69091,2.870156
140,84.11096,89.66578,90.70593,86.148544,90.15375,83.73443,86.148544,4.4426365
141,90.15375,89.518715,91.63516,87.077774,74.58556,87.077774,91.08298,16.748833
142,74.58556,83.64305,86.60271,69.55311,71.751335,69.55311,86.05052,3.063674
143,71.751335,74.01738,71.97759,57.12622,61.417114,54.927994,57.12622,6.986479
144,61.417114,54.498665,54.872395,40.021027,42.372997,40.021023,44.311916,5.550636
145,42.372997,33.556152,35.45424,22.954844,28.9238,22.95484,24.893763,20.636833
146,28.9238,21.744656,20.983887,14.453445,15.875671,8.4844885,14.453449,8.958525
147,15.875671,12.733959,11.82629,6.718073,10.855618,5.29585,6.718076,38.11432
148,10.855618,6.798134,6.592041,5.621367,10.11364,1.4838244,5.62137,44.41796
149,10.11364,9.151073,5.4606285,4.4899573,4.5454597,4.4899545,8.982229,1.2210517
150,4.5454597,8.803482,5.3154907,4.4003243,5.5748672,4.4003205,8.837091,21.068535
151,5.5748672,9.538773,10.875969,9.960802,14.070858,9.960799,11.135346,29.209703
152,14.070858,28.094923,26.583195,29.778082,39.144386,26.84257,29.778086,23.92758
