rps,input_size,power_total_w
150,563135,707.3651144063602
150,563135,697.827867946753
150,563135,690.0161778124352
150,563135,697.6127992417441
150,563135,678.0525556970715
150,563135,698.2918585882009
150,563135,685.334338139209
150,563135,697.9866900190663
150,563135,698.6352318968917
150,563135,691.4239594386313
150,563135,698.9262937075637
150,563135,690.2196308518863
150,563135,700.9263565673984
150,563135,693.5455425563828
150,563135,700.9243650762216
150,563135,704.9577214091238
150,563135,701.6522716269513
150,563135,689.7246745722452
150,563135,701.6968494601971
150,563135,700.7800913938999
150,563135,702.7613288715844
150,563135,691.607894391148
150,563135,689.8769396170179
150,563135,694.3465123814794
150,563135,705.8638258792059
150,563135,699.9207316450443
150,563135,688.5773123197132
150,563135,697.9663669790141
150,563135,708.6429499615588
150,563135,684.666290472926
150,563135,683.7150798179243
150,563135,689.1337159113868
150,563135,699.1536985739996
150,563135,693.5218943650069
150,563135,692.4936338324692
150,563135,683.7513843053973
150,563135,690.1587163247141
150,563135,690.1886194149806
150,563135,706.5028279812934
150,563135,693.8457141600759
150,563135,685.5484309729974
150,563135,699.6079727181516
150,563135,700.9853432138528
150,563135,688.7859543758941
150,563135,690.984064336762
150,563135,685.0272895166661
150,563135,703.5508894851113
150,563135,702.1000378407749
150,563135,697.0501886691676
150,563135,696.3686747712841
150,563135,695.3123722023083
150,563135,709.3924506084722
150,563135,702.78617841568
150,563135,691.366441080723
150,563135,701.2262668651949
150,563135,702.6840467753873
150,563135,687.8465491685719
150,563135,695.5896422857058
150,563135,701.6905445568877
150,563135,693.5356393368497
