rps,input_size,power_total_w
10,563135,407.358067780806
10,563135,399.91976416803374
10,563135,396.5353043744252
10,563135,398.2171391817151
10,563135,391.700599487672
10,563135,404.4895855834678
10,563135,402.31545699638434
10,563135,383.47451770646853
10,563135,405.69568166418463
10,563135,402.7852972872294
10,563135,402.899043850151
10,563135,389.71258863828535
10,563135,397.5612091503284
10,563135,398.45851716037885
10,563135,399.1205960724001
10,563135,405.1371846108585
10,563135,401.6218020334601
10,563135,396.1150751821923
10,563135,397.9953680645743
10,563135,389.23020562558975
10,563135,407.2174609459696
10,563135,407.1676003864469
10,563135,402.7650786084906
10,563135,401.3596872337449
10,563135,408.29203335824354
10,563135,408.41964909207195
10,563135,391.0475493321426
10,563135,395.7218045493224
10,563135,404.0879723707274
10,563135,400.7299032326753
10,563135,398.1978180214119
10,563135,400.05060193928466
10,563135,400.13771028350294
10,563135,398.63817239473025
10,563135,400.5023584822235
10,563135,401.3144582625106
10,563135,399.5249792034185
10,563135,392.2588831441941
10,563135,392.0862218373014
10,563135,380.72824380749876
10,563135,403.8106387887211
10,563135,402.5646005330899
10,563135,395.23777575605345
10,563135,401.66087524646014
10,563135,395.47441800314004
10,563135,404.7910864991374
10,563135,399.174878686684
10,563135,403.32588827481936
10,563135,398.2483676173298
10,563135,398.92856754641207
10,563135,403.744723485931
10,563135,408.57848835844493
10,563135,406.8788156977521
10,563135,402.09123491433525
10,563135,405.3270717672764
10,563135,403.7717396411737
10,563135,402.8399855431032
10,563135,406.349479003947
10,563135,401.29400667293345
10,563135,403.8635519446608
11,940930,406.52693767357044
11,940930,406.8895933965175
11,940930,404.8609611238651
11,940930,403.4683825241078
11,940930,395.49059731270256
11,940930,406.0143360648948
11,940930,417.60176602169344
11,940930,399.2363872425009
11,940930,400.63592864982377
11,940930,404.23433323029064
11,940930,404.70891213224206
11,940930,403.3548584354145
11,940930,393.40009024181114
11,940930,407.7236209337842
11,940930,409.0778372460078
11,940930,411.8515229323518
11,940930,411.2299741066683
11,940930,409.8095067468565
11,940930,401.9054699584385
11,940930,403.1872132751256
11,940930,406.3378865556916
11,940930,403.88661173025025
11,940930,404.7795919957617
11,940930,401.2604704495026
11,940930,396.1315057150257
11,940930,406.0717950161589
11,940930,408.32794745005333
11,940930,402.84834071687254
11,940930,402.93235206150655
11,940930,405.4196871205445
11,940930,407.3209944710628
11,940930,406.7987332293318
11,940930,406.14031762253546
11,940930,406.07909361823135
11,940930,401.1339480966591
11,940930,404.06077182257627
11,940930,400.6970589944782
11,940930,404.705320139832
11,940930,405.3964898583962
11,940930,404.0967708407694
11,940930,402.6613175731881
11,940930,403.0474159110778
11,940930,407.0053124145659
11,940930,397.004592303276
11,940930,401.3898818991171
11,940930,406.3544352765372
11,940930,410.81145654317544
11,940930,415.9845499209107
11,940930,410.5759838527308
11,940930,405.02096366580327
11,940930,406.40335236153226
11,940930,404.6595158236752
11,940930,403.9477167774897
11,940930,395.80337726851656
11,940930,402.28060906751534
11,940930,408.36538871201276
11,940930,402.9535712180266
11,940930,403.75125873223016
11,940930,397.2467065030447
11,940930,402.9681248895197
20,563135,438.83512215989344
20,563135,430.99518922599594
20,563135,430.2248594187038
20,563135,428.47080251191176
20,563135,436.8309371265352
20,563135,423.3556564495526
20,563135,437.8553684562246
20,563135,428.49309583487604
20,563135,433.85089631401047
20,563135,451.7945199733544
20,563135,435.2587929708893
20,563135,435.673248025804
20,563135,443.75534693995587
20,563135,456.5550855091102
20,563135,443.7024749834944
20,563135,425.98602508242055
20,563135,433.0823965442481
20,563135,441.2420426330759
20,563135,447.01603375763534
20,563135,429.1102513881119
20,563135,434.4881024380356
20,563135,429.3530755172246
20,563135,418.5891522624746
20,563135,425.81663173627584
20,563135,433.4379690271029
20,563135,435.59812079558174
20,563135,440.45873812762574
20,563135,431.1693399520793
20,563135,429.6672851659506
20,563135,414.62604939571077
20,563135,424.06309897466815
20,563135,421.46537254104817
20,563135,423.97923805791834
20,563135,420.79297648246904
20,563135,435.33287591876365
20,563135,408.5612246274803
20,563135,436.06053552726326
20,563135,424.9704155935821
20,563135,432.83035812742577
20,563135,430.6522678038807
20,563135,431.7557442690633
20,563135,440.81246213344775
20,563135,429.90764332464596
20,563135,425.21158502288597
20,563135,423.237489403356
20,563135,446.7744997393736
20,563135,422.2420983979837
20,563135,424.93192890120116
20,563135,443.0056864987248
20,563135,441.8851554645253
20,563135,430.4770720063308
20,563135,452.68695849594906
20,563135,437.6532030385886
20,563135,438.2057183485982
20,563135,442.7736910360021
20,563135,428.3552944921052
20,563135,442.4091308860342
20,563135,445.2835052225902
20,563135,446.0855145945337
20,563135,429.2132912559846
21,940930,456.1037522693801
21,940930,454.2427627184313
21,940930,443.69000370542483
21,940930,461.64123444841323
21,940930,465.26689245180376
21,940930,466.26367013789513
21,940930,459.0306319785577
21,940930,454.43076948894327
21,940930,443.37939713235414
21,940930,443.22959327610454
21,940930,451.42963825690913
21,940930,456.67642478078653
21,940930,454.6698934873676
21,940930,452.8468849213973
21,940930,448.0890419295105
21,940930,458.75173694535334
21,940930,449.74962343571644
21,940930,445.18716002722454
21,940930,448.60087921199136
21,940930,449.72387515401874
21,940930,445.10878265082135
21,940930,451.1627598972813
21,940930,443.6237869187637
21,940930,458.3288660830867
21,940930,437.75556101262634
21,940930,451.149424708942
21,940930,441.3027063966815
21,940930,437.02350738782525
21,940930,443.0341971208677
21,940930,446.36150927398444
21,940930,425.10603299247884
21,940930,434.9078359086781
21,940930,449.17779411315234
21,940930,452.6776240474725
21,940930,458.6407318750625
21,940930,463.8980368529045
21,940930,452.3812124633569
21,940930,462.8357420276937
21,940930,444.8284579479904
21,940930,440.0019184868986
21,940930,439.42324678607315
21,940930,449.87560152088577
21,940930,437.2049688354756
21,940930,435.039371691739
21,940930,443.98906821551486
21,940930,438.40999638704
21,940930,445.3000797124847
21,940930,453.8963054465529
21,940930,444.64247510343347
21,940930,439.1253070261846
21,940930,455.41995734688095
21,940930,447.2879829997735
21,940930,448.2791834449936
21,940930,463.7555098049686
21,940930,457.1606721630814
21,940930,456.82703664260094
21,940930,452.4763459031168
21,940930,446.73664575899045
21,940930,450.1984123739462
21,940930,442.0660284288038
30,563135,485.09060117631657
30,563135,510.26890008530296
30,563135,469.06699332870545
30,563135,500.89594515442445
30,563135,478.85559812380296
30,563135,495.44124724153664
30,563135,487.88887049547736
30,563135,497.0118687549715
30,563135,502.94726105033067
30,563135,496.7229745129208
30,563135,479.57443576457126
30,563135,495.34060210487587
30,563135,486.72912494341745
30,563135,491.7668685735364
30,563135,477.6098960419856
30,563135,490.1353156738304
30,563135,490.9412747711109
30,563135,494.07652236609863
30,563135,467.62735769579626
30,563135,477.1326907452865
30,563135,480.1339192992735
30,563135,486.3847351664091
30,563135,470.8554744458128
30,563135,467.87819314470926
30,563135,497.24114518063396
30,563135,491.06542555884016
30,563135,483.89124366981804
30,563135,504.00731154153624
30,563135,495.2349007795775
30,563135,505.5294963929556
30,563135,497.25434335354976
30,563135,489.78673346730466
30,563135,477.8410503475709
30,563135,464.19406835355596
30,563135,504.563353342248
30,563135,465.3376859867621
30,563135,474.0329469849219
30,563135,496.9510839569298
30,563135,464.1810042553724
30,563135,483.0816708850186
30,563135,485.0639320448539
30,563135,470.0133712746582
30,563135,470.74647622632915
30,563135,482.6415532148462
30,563135,481.5906792364615
30,563135,499.767904573068
30,563135,496.6800342935825
30,563135,489.0350090759078
30,563135,487.19819848074974
30,563135,492.42206004182833
30,563135,496.1591087710157
30,563135,494.04969806283276
30,563135,497.2395042709489
30,563135,483.66614014142453
30,563135,457.4118270971294
30,563135,492.9893840254215
30,563135,487.09076289197117
30,563135,487.8636712776747
30,563135,486.63522236498125
30,563135,485.2883127905312
30,940930,469.7652527933408
30,940930,488.75397022261507
30,940930,486.60988281872267
30,940930,504.30314406633426
30,940930,488.28951714094194
30,940930,479.57307546962414
30,940930,466.1765624828464
30,940930,462.8405209947681
30,940930,480.7240716287617
30,940930,486.5434570904759
30,940930,471.46892003166795
30,940930,485.1914838423062
30,940930,490.8177258926597
30,940930,491.2413094180324
30,940930,468.13096616949167
30,940930,488.1256828443716
30,940930,503.82754585196835
30,940930,510.84655981249364
30,940930,515.7334063063219
30,940930,490.084292976544
30,940930,481.2679488341504
30,940930,471.3193127325293
30,940930,503.36076806937604
30,940930,503.867040595509
30,940930,483.45625520735746
30,940930,486.6760861899557
30,940930,480.4960965013605
30,940930,468.2128973257191
30,940930,482.8029944105128
30,940930,464.22647098081757
30,940930,479.9760736744889
30,940930,487.2197744561773
30,940930,484.84179298840144
30,940930,484.18154066887325
30,940930,477.5846154994833
30,940930,490.7382645393214
30,940930,487.7448816379569
30,940930,457.46214977089045
30,940930,470.2612813005605
30,940930,467.5073114224258
30,940930,488.4235287434304
30,940930,470.56987020744066
30,940930,479.83333568647225
30,940930,499.6019082416548
30,940930,484.39493917401825
30,940930,488.4377144884665
30,940930,478.05769723789655
30,940930,499.7054350488382
30,940930,485.0994828012963
30,940930,487.3671725964254
30,940930,488.8193967848
30,940930,491.1954527603199
30,940930,500.6079067035308
30,940930,507.4302309607664
30,940930,491.405293912754
30,940930,496.0609762387878
30,940930,475.4927567424716
30,940930,471.12191017062423
30,940930,487.1386280661669
30,940930,489.3250614149065
40,563135,510.16406333680817
40,563135,510.66289354053515
40,563135,503.8142369597716
40,563135,546.776028461948
40,563135,518.1230302356078
40,563135,550.4820333392097
40,563135,505.83856430235096
40,563135,533.0001320410837
40,563135,546.2345534716975
40,563135,492.971674361379
40,563135,524.3814705205054
40,563135,538.2323577909082
40,563135,516.1332968253436
40,563135,513.5810411829594
40,563135,536.5241427915959
40,563135,525.0421684236127
40,563135,526.8368262645223
40,563135,557.6502702238007
40,563135,540.9432130407449
40,563135,524.6843661640692
40,563135,529.1482817320573
40,563135,543.0039524038268
40,563135,549.3648838470081
40,563135,521.9514434832467
40,563135,535.5149640104402
40,563135,525.6726410667035
40,563135,554.4650930373733
40,563135,532.1517351855593
40,563135,540.342008770665
40,563135,546.9364384554881
40,563135,533.3996592943906
40,563135,507.45155599422446
40,563135,519.7664154924198
40,563135,504.32050941719774
40,563135,530.9186569519977
40,563135,527.7392556972043
40,563135,529.8241117374032
40,563135,525.7576928634466
40,563135,523.0774729738517
40,563135,521.0836237345305
40,563135,535.2988434551108
40,563135,521.8279284022108
40,563135,526.3966601789627
40,563135,523.7366618874366
40,563135,523.4915103704365
40,563135,550.7731931465692
40,563135,520.4174378834944
40,563135,561.0733852265473
40,563135,538.057600252651
40,563135,550.3188910500766
40,563135,553.1495211783955
40,563135,542.3872304532777
40,563135,522.948515742489
40,563135,530.1104993632613
40,563135,551.2729605844104
40,563135,538.0328202171993
40,563135,540.1050068498275
40,563135,528.6028697406318
40,563135,541.7679491928329
40,563135,544.3461254398466
49,940930,573.0168660125548
49,940930,566.8028291141334
49,940930,571.4968900445226
49,940930,565.0845883309257
49,940930,588.495193516118
49,940930,579.2936086993806
49,940930,554.5309585946432
49,940930,586.561582698525
49,940930,552.4215473976344
49,940930,531.4876714910959
49,940930,554.9054369890873
49,940930,545.0547204395112
49,940930,592.2525942072402
49,940930,583.4997312453869
49,940930,556.2409506816356
49,940930,570.3987607116383
49,940930,559.4377508305463
49,940930,568.2530220161777
49,940930,567.6355893226416
49,940930,597.3575920767344
49,940930,569.0652587052869
49,940930,566.8587499708925
49,940930,595.097510070131
49,940930,575.6895579010768
49,940930,575.086562366051
49,940930,570.4656173669839
49,940930,578.3748490402105
49,940930,621.6102630674828
49,940930,604.3739722447293
49,940930,584.6490767245327
49,940930,569.9733915874102
49,940930,551.0293732927937
49,940930,596.0568957474966
49,940930,565.6654850417273
49,940930,580.2095006003744
49,940930,550.8882779552089
49,940930,591.3078947265479
49,940930,554.3581210772847
49,940930,601.1378996789456
49,940930,565.1653422358938
49,940930,587.8794038377044
49,940930,526.3946865756651
49,940930,551.3545950976393
49,940930,555.4073664694542
49,940930,581.0372689086163
49,940930,551.8885935108749
49,940930,587.5459383207683
49,940930,604.045044324756
49,940930,541.1339145815541
49,940930,582.3199537973551
49,940930,579.4164771608818
49,940930,544.0726137272343
49,940930,587.0511073293268
49,940930,620.2910998280761
49,940930,572.7053674360455
49,940930,592.7016699419876
49,940930,556.2634103148401
49,940930,586.5012394197424
49,940930,569.8427836452157
49,940930,571.1782338482749
50,563135,599.179602282082
50,563135,604.8036683886862
50,563135,609.0451585210062
50,563135,599.2123035147702
50,563135,575.092431542213
50,563135,591.8117611565563
50,563135,607.5245969992131
50,563135,592.7842841861559
50,563135,582.2738898359738
50,563135,599.897710229093
50,563135,601.6488994628285
50,563135,609.7700393469488
50,563135,602.7256731150587
50,563135,571.5985905829616
50,563135,588.8165338671047
50,563135,569.9169717572136
50,563135,559.5257286262142
50,563135,602.9537897924979
50,563135,601.1323748455322
50,563135,589.9793091398822
50,563135,606.6760944468688
50,563135,598.137057085791
50,563135,601.9429555081562
50,563135,599.2362035574499
50,563135,588.91832594024
50,563135,568.1313008459983
50,563135,614.2780970309781
50,563135,544.4189201896045
50,563135,591.7818298491964
50,563135,577.2565305654834
50,563135,588.7175345594717
50,563135,590.7480931899345
50,563135,589.4493789132403
50,563135,574.1205991559442
50,563135,568.484380766921
50,563135,589.1237275069004
50,563135,612.2773216852736
50,563135,603.3742292350234
50,563135,583.6100390281667
50,563135,595.4097887346627
50,563135,579.3288944497522
50,563135,568.0472439500309
50,563135,609.5788668988698
50,563135,584.4613471377094
50,563135,590.7364243550602
50,563135,592.4492656857161
50,563135,564.9797899121663
50,563135,627.9934216926372
50,563135,606.1807354729658
50,563135,583.9531306435559
50,563135,596.3418090761354
50,563135,644.7304951464447
50,563135,607.8260918112142
50,563135,616.20452283479
50,563135,602.3558249587225
50,563135,593.5906678041606
50,563135,593.7284081329135
50,563135,603.3344101739681
50,563135,620.0168838098356
50,563135,595.8149694830241
57,940930,650.3155185940833
57,940930,596.1605784150265
57,940930,604.2802645770261
57,940930,610.5057766050372
57,940930,604.7548519573043
57,940930,620.6100125167774
57,940930,630.9484310426774
57,940930,614.957214275867
57,940930,623.6781932876974
57,940930,618.3834618743334
57,940930,622.9669761526321
57,940930,584.887687753369
57,940930,599.8380647675888
57,940930,595.4721566858594
57,940930,613.0348664050356
57,940930,596.4228595860393
57,940930,605.0066269175695
57,940930,623.2604483494733
57,940930,609.1030618706168
57,940930,627.78597519616
57,940930,600.3587989884513
57,940930,585.3684806783016
57,940930,604.6860292820847
57,940930,626.833157598229
57,940930,610.6691572880604
57,940930,600.5955716201019
57,940930,604.7379968222531
57,940930,625.4890577105516
57,940930,583.6711977837888
57,940930,632.3454419361283
57,940930,612.7692986311756
57,940930,609.5067887776678
57,940930,626.8296090001195
57,940930,600.7498701146999
57,940930,609.8235076727952
57,940930,611.2447048575887
57,940930,604.9558007479819
57,940930,622.2976741090408
57,940930,595.2392901926428
57,940930,626.8502636386668
57,940930,609.030973867133
57,940930,630.0042118747288
57,940930,603.3771232857387
57,940930,606.0869603820158
57,940930,610.9134523288302
57,940930,595.0982467712744
57,940930,608.6332287683892
57,940930,596.5138986261146
57,940930,618.0598429410861
57,940930,568.027984367739
57,940930,601.6410365214299
57,940930,617.2683378598032
57,940930,611.073650983506
57,940930,610.481460347298
57,940930,598.9944426029886
57,940930,629.086750064751
57,940930,622.4696194657013
57,940930,612.7067839848414
57,940930,603.555792381065
57,940930,629.0963080382749
