power_total_w stats by (rps, hostname)
source_csv=./power_logs/zinput2-rps-aggregated.csv
generated_at=2025-12-20T06:22:30
percentiles=[5, 10, 25, 50, 75, 90, 95]
ci=90% normal approx (z=1.645)
--------------------------------------------------------------------------------
rps=10, hostname=intel-manager, n=60, mean=203.7563, median=204.5968, std=4.8792, p5=194.7974, p10=199.6266, p25=202.4853, p50=204.5968, p75=206.0135, p90=208.7698, p95=209.6456, ci90_mean=[202.7201, 204.7925]
rps=10, hostname=intel-worker1, n=60, mean=196.3861, median=196.4725, std=3.7407, p5=189.9261, p10=192.3025, p25=194.8759, p50=196.4725, p75=197.5674, p90=201.7826, p95=202.4955, ci90_mean=[195.5917, 197.1805]
rps=20, hostname=intel-manager, n=60, mean=215.2429, median=215.5419, std=6.2946, p5=203.8529, p10=207.4899, p25=212.3761, p50=215.5419, p75=219.0135, p90=222.6302, p95=223.7970, ci90_mean=[213.9061, 216.5797]
rps=20, hostname=intel-worker1, n=60, mean=218.2056, median=217.9741, std=7.3933, p5=206.7923, p10=208.5204, p25=212.6893, p50=217.9741, p75=222.0039, p90=228.2779, p95=229.7873, ci90_mean=[216.6354, 219.7757]
rps=30, hostname=intel-manager, n=60, mean=248.6626, median=248.8003, std=8.5269, p5=236.0021, p10=237.4011, p25=242.7862, p50=248.8003, p75=254.2525, p90=259.7407, p95=260.4908, ci90_mean=[246.8518, 250.4734]
rps=30, hostname=intel-worker1, n=60, mean=237.9728, median=238.1898, std=8.6202, p5=224.3156, p10=227.2317, p25=233.6853, p50=238.1898, p75=244.6338, p90=247.8614, p95=249.7094, ci90_mean=[236.1421, 239.8034]
rps=40, hostname=intel-manager, n=60, mean=263.4453, median=261.8204, std=10.3830, p5=249.1728, p10=250.7388, p25=254.6838, p50=261.8204, p75=270.9123, p90=276.5471, p95=279.4036, ci90_mean=[261.2402, 265.6503]
rps=40, hostname=intel-worker1, n=60, mean=267.6894, median=270.2692, std=11.0064, p5=245.8316, p10=253.3010, p25=261.9664, p50=270.2692, p75=275.8456, p90=279.9487, p95=281.6959, ci90_mean=[265.3520, 270.0268]
rps=50, hostname=intel-manager, n=60, mean=303.6536, median=303.6797, std=13.5762, p5=282.8833, p10=287.0857, p25=293.9335, p50=303.6797, p75=312.5867, p90=320.7837, p95=324.6940, ci90_mean=[300.7704, 306.5367]
rps=50, hostname=intel-worker1, n=60, mean=290.1371, median=289.2070, std=13.5694, p5=270.9351, p10=276.3134, p25=282.4137, p50=289.2070, p75=298.0343, p90=306.5643, p95=311.0977, ci90_mean=[287.2554, 293.0188]
