rps,input_size,sum_avg_power_total_w,std_avg_power_total_w,host_count
10,940930,400.14245641809873,5.211519812670358,2
20,940930,433.4484774318381,2.0949007832045385,2
30,940930,486.63538308122196,7.558839225788098,2
40,940930,531.134706167386,3.0010775422258456,2
50,940930,593.7906488069495,9.55763297541632,2
