hour,hour_invocation,hour_of_day,day_of_week
130,296.23333333333335,10,5
131,337.4166666666667,11,5
132,335.06666666666666,12,5
133,271.8833333333333,13,5
134,283.1166666666667,14,5
135,315.85,15,5
136,307.95,16,5
137,306.76666666666665,17,5
138,323.3833333333333,18,5
139,291.73333333333335,19,5
140,270.06666666666666,20,5
141,262.73333333333335,21,5
142,250.85,22,5
143,245.88333333333333,23,5
144,198.83333333333334,0,6
145,168.3,1,6
146,113.75,2,6
147,132.21666666666667,3,6
148,135.2,4,6
149,89.76666666666667,5,6
150,113.08333333333333,6,6
151,117.85,7,6
152,141.13333333333333,8,6
153,205.36666666666667,9,6
154,314.3333333333333,10,6
155,364.1,11,6
156,351.68333333333334,12,6
157,309.48333333333335,13,6
158,278.3,14,6
159,324.5,15,6
160,361.71666666666664,16,6
161,375.25,17,6
162,340.43333333333334,18,6
163,340.55,19,6
164,293.9166666666667,20,6
165,255.96666666666667,21,6
166,231.0,22,6
167,241.83333333333334,23,6
168,203.8,0,0
169,183.15,1,0
170,153.66666666666666,2,0
171,94.4,3,0
172,90.51666666666667,4,0
173,75.48333333333333,5,0
174,70.3,6,0
175,101.06666666666666,7,0
176,107.48333333333333,8,0
177,174.18333333333334,9,0
178,278.78333333333336,10,0
179,299.21666666666664,11,0
180,365.6166666666667,12,0
181,258.3333333333333,13,0
182,240.03333333333333,14,0
183,282.18333333333334,15,0
184,294.23333333333335,16,0
185,255.1,17,0
186,260.3666666666667,18,0
187,240.5,19,0
188,235.68333333333334,20,0
189,214.05,21,0
190,190.11666666666667,22,0
191,209.6,23,0
192,174.83333333333334,0,1
193,171.51666666666668,1,1
194,151.86666666666667,2,1
195,99.88333333333334,3,1
196,95.26666666666667,4,1
197,79.01666666666667,5,1
198,70.43333333333334,6,1
199,109.28333333333333,7,1
200,115.13333333333334,8,1
201,190.1,9,1
202,236.91666666666666,10,1
203,263.55,11,1
204,255.35,12,1
205,253.7,13,1
206,288.7,14,1
207,272.18333333333334,15,1
208,272.93333333333334,16,1
209,267.7,17,1
210,225.43333333333334,18,1
211,213.38333333333333,19,1
212,234.5,20,1
213,235.18333333333334,21,1
214,237.1,22,1
215,209.35,23,1
216,188.66666666666666,0,2
217,120.16666666666667,1,2
218,115.48333333333333,2,2
219,102.01666666666667,3,2
220,75.28333333333333,4,2
221,75.21666666666667,5,2
222,82.66666666666667,6,2
223,88.73333333333333,7,2
224,128.26666666666668,8,2
225,191.45,9,2
226,272.03333333333336,10,2
227,360.01666666666665,11,2
228,329.6666666666667,12,2
229,316.55,13,2
230,314.65,14,2
231,282.85,15,2
232,309.85,16,2
233,353.81666666666666,17,2
234,346.73333333333335,18,2
235,292.53333333333336,19,2
236,284.56666666666666,20,2
237,237.48333333333332,21,2
238,208.75,22,2
239,273.78333333333336,23,2
240,149.98333333333332,0,3
241,121.01666666666667,1,3
242,119.68333333333334,2,3
243,128.85,3,3
244,85.21666666666667,4,3
245,102.76666666666667,5,3
246,115.78333333333333,6,3
247,110.35,7,3
248,115.46666666666667,8,3
249,215.56666666666666,9,3
250,230.73333333333332,10,3
251,408.3333333333333,11,3
252,420.8333333333333,12,3
253,307.06666666666666,13,3
254,356.43333333333334,14,3
255,411.18333333333334,15,3
256,392.81666666666666,16,3
257,330.6,17,3
258,326.5,18,3
259,354.93333333333334,19,3
260,299.31666666666666,20,3
261,408.35,21,3
262,359.18333333333334,22,3
263,496.8,23,3
264,328.81666666666666,0,4
265,622.25,1,4
266,553.3,2,4
267,395.31666666666666,3,4
268,221.56666666666666,4,4
269,204.5,5,4
270,190.71666666666667,6,4
271,226.11666666666667,7,4
272,240.26666666666668,8,4
273,345.5,9,4
274,444.05,10,4
275,472.01666666666665,11,4
276,465.26666666666665,12,4
277,430.31666666666666,13,4
278,474.23333333333335,14,4
279,465.45,15,4
280,488.51666666666665,16,4
281,412.18333333333334,17,4
282,1079.8666666666666,18,4
283,1158.3166666666666,19,4
284,971.2166666666667,20,4
285,161.91666666666666,21,4
286,181.0,22,4
287,301.5,23,4
288,396.3833333333333,0,5
289,363.6666666666667,1,5
290,302.1666666666667,2,5
291,62.03333333333333,3,5
292,60.03333333333333,4,5
293,64.43333333333334,5,5
294,64.83333333333333,6,5
295,71.21666666666667,7,5
296,81.31666666666666,8,5
297,93.95,9,5
298,154.91666666666666,10,5
299,173.23333333333332,11,5
300,165.91666666666666,12,5
301,169.91666666666666,13,5
302,220.75,14,5
303,300.6333333333333,15,5
304,361.93333333333334,16,5
305,465.51666666666665,17,5
306,422.96666666666664,18,5
307,417.43333333333334,19,5
308,401.71666666666664,20,5
309,413.8333333333333,21,5
310,407.8,22,5
311,410.2,23,5
312,385.95,0,6
313,223.45,1,6
314,327.6166666666667,2,6
315,297.73333333333335,3,6
316,297.7,4,6
317,163.48333333333332,5,6
318,33.36666666666667,6,6
319,37.63333333333333,7,6
320,82.78333333333333,8,6
321,110.26666666666667,9,6
322,312.03333333333336,10,6
323,371.3666666666667,11,6
324,300.25,12,6
325,192.75,13,6
326,197.68333333333334,14,6
327,336.5,15,6
328,610.2166666666667,16,6
329,416.43333333333334,17,6
330,431.78333333333336,18,6
331,350.96666666666664,19,6
332,353.98333333333335,20,6
333,330.9166666666667,21,6
334,394.0833333333333,22,6
335,376.7,23,6
