mean_rps,std_rps,lo95_rps,hi95_rps,mean_z,std_z
95.81147766113281,27.132732391357422,42.63132217407227,148.99163314819336,-0.432746946811676,0.3333945572376251
92.60733032226562,27.252670288085938,39.19209655761719,146.02256408691406,-0.432746946811676,0.3333945572376251
91.00049591064453,27.853267669677734,36.40809127807617,145.5929005432129,-0.432746946811676,0.3333945572376251
89.97157287597656,28.835817337036133,33.453370895385746,146.48977485656738,-0.432746946811676,0.3333945572376251
89.15650177001953,28.519479751586914,33.25832145690918,145.05468208312988,-0.432746946811676,0.3333945572376251
89.0196533203125,28.999706268310547,32.18022903442383,145.85907760620117,-0.432746946811676,0.3333945572376251
89.08959197998047,29.80172348022461,30.678213958740237,147.5009700012207,-0.432746946811676,0.3333945572376251
88.56558990478516,29.9930419921875,29.779227600097656,147.35195220947264,-0.432746946811676,0.3333945572376251
87.78794860839844,30.864030838012695,27.294448165893556,148.28144905090332,-0.432746946811676,0.3333945572376251
87.55079650878906,31.09188461303711,26.610702667236332,148.4908903503418,-0.432746946811676,0.3333945572376251
87.29563903808594,31.721393585205078,25.121707611083984,149.46957046508788,-0.432746946811676,0.3333945572376251
86.54461669921875,31.2984561920166,25.19964256286621,147.88959083557128,-0.432746946811676,0.3333945572376251
86.12374877929688,30.704219818115234,25.943477935791016,146.30401962280274,-0.432746946811676,0.3333945572376251
85.47917175292969,30.77754020690918,25.155192947387697,145.80315055847169,-0.432746946811676,0.3333945572376251
84.48802947998047,30.91099739074707,23.902474594116214,145.07358436584474,-0.432746946811676,0.3333945572376251
84.45243835449219,30.436452865600586,24.79699073791504,144.10788597106932,-0.432746946811676,0.3333945572376251
84.3342514038086,30.782127380371094,24.00128173828125,144.66722106933594,-0.432746946811676,0.3333945572376251
83.95793151855469,31.231346130371094,22.744493103027345,145.17136993408204,-0.432746946811676,0.3333945572376251
83.25408935546875,31.721210479736328,21.080516815185547,145.42766189575195,-0.432746946811676,0.3333945572376251
82.85865783691406,31.765783309936523,20.59772254943848,145.11959312438964,-0.432746946811676,0.3333945572376251
82.46701049804688,30.75420379638672,22.18877105712891,142.74524993896483,-0.432746946811676,0.3333945572376251
82.6531982421875,30.843181610107422,22.200562286376957,143.10583419799804,-0.432746946811676,0.3333945572376251
82.46603393554688,31.419673919677734,20.883473052978516,144.04859481811525,-0.432746946811676,0.3333945572376251
82.42201232910156,31.071531295776367,21.521810989379887,143.32221366882322,-0.432746946811676,0.3333945572376251
81.58126831054688,30.37091827392578,22.054268493652344,141.10826812744142,-0.432746946811676,0.3333945572376251
81.00555419921875,29.70923614501953,22.77545135498047,139.23565704345702,-0.432746946811676,0.3333945572376251
80.4274673461914,29.952007293701172,21.72153305053711,139.1334016418457,-0.432746946811676,0.3333945572376251
79.89693450927734,30.574668884277344,19.970583496093752,139.82328552246094,-0.432746946811676,0.3333945572376251
79.7916030883789,30.873783111572266,19.278988189697266,140.30421798706055,-0.432746946811676,0.3333945572376251
79.66718292236328,31.61969566345215,17.692579421997074,141.6417864227295,-0.432746946811676,0.3333945572376251
79.9964828491211,31.58271026611328,18.094370727539065,141.89859497070313,-0.432746946811676,0.3333945572376251
79.68338012695312,32.0531120300293,16.859280548095704,142.50747970581054,-0.432746946811676,0.3333945572376251
79.52810668945312,32.62074661254883,15.591443328857423,143.46477005004883,-0.432746946811676,0.3333945572376251
79.37440490722656,32.76496887207031,15.155065917968756,143.59374389648437,-0.432746946811676,0.3333945572376251
78.98602294921875,33.36534881591797,13.589939270019528,144.38210662841797,-0.432746946811676,0.3333945572376251
78.68951416015625,33.04460525512695,13.922087860107425,143.4569404602051,-0.432746946811676,0.3333945572376251
78.92820739746094,32.935115814208984,14.375380401611324,143.48103439331055,-0.432746946811676,0.3333945572376251
78.61848449707031,33.21208572387695,13.522796478271488,143.71417251586914,-0.432746946811676,0.3333945572376251
79.17381286621094,33.75730514526367,13.00949478149414,145.33813095092773,-0.432746946811676,0.3333945572376251
79.09243774414062,34.95624923706055,10.578189239501953,147.60668624877928,-0.432746946811676,0.3333945572376251
78.90332794189453,35.95561218261719,8.43032806396485,149.3763278198242,-0.432746946811676,0.3333945572376251
78.98908233642578,37.05270767211914,6.3657752990722685,151.6123893737793,-0.432746946811676,0.3333945572376251
78.69794464111328,38.46083450317383,3.3147090148925855,154.081180267334,-0.432746946811676,0.3333945572376251
79.3550796508789,39.14472198486328,2.6314245605468756,156.07873474121095,-0.432746946811676,0.3333945572376251
78.841796875,38.70789337158203,2.9743258666992176,154.70926788330078,-0.432746946811676,0.3333945572376251
78.49916076660156,37.794708251953125,4.4215325927734455,152.57678894042968,-0.432746946811676,0.3333945572376251
78.51055908203125,37.67582321166992,4.665945587158205,152.3551725769043,-0.432746946811676,0.3333945572376251
78.4964370727539,38.571537017822266,2.8962245178222616,154.09664962768557,-0.432746946811676,0.3333945572376251
78.10896301269531,39.871578216552734,-0.03933029174804403,156.25725631713868,-0.432746946811676,0.3333945572376251
