x_hour,x_start,y_hour,predicted,target,error_rates
3616.0,286.75,3640.0,284.9719,497.3,42.69618
3617.0,324.23333333333335,3641.0,322.45526,327.66666,1.5904565
3618.0,259.03333333333336,3642.0,257.25522,312.84998,17.770422
3619.0,320.96666666666664,3643.0,319.18857,315.71667,1.0996864
3620.0,276.3333333333333,3644.0,274.55524,279.75,1.8569305
3621.0,256.8333333333333,3645.0,255.05524,259.86667,1.8515002
3622.0,203.38333333333333,3646.0,201.60524,220.0,8.361255
3623.0,253.3,3647.0,251.5219,303.28333,17.06702
3624.0,185.7,3648.0,183.9219,238.34999,22.835363
3625.0,219.4,3649.0,217.6219,219.68332,0.93835825
3626.0,179.45,3650.0,177.6719,191.71666,7.325787
3627.0,190.93333333333334,3651.0,189.15523,185.13333,2.1724322
3628.0,185.23333333333332,3652.0,183.45523,174.11665,5.3634024
3629.0,188.3,3653.0,186.5219,178.73332,4.3576508
3630.0,192.81666666666666,3654.0,191.03857,232.93332,17.985723
3631.0,214.66666666666666,3655.0,212.88857,204.23332,4.237919
3632.0,236.26666666666668,3656.0,234.48856,175.94998,33.270008
3633.0,241.01666666666668,3657.0,239.23857,297.05,19.461847
3634.0,325.18333333333334,3658.0,323.40524,378.41666,14.53726
3635.0,339.81666666666666,3659.0,338.03857,394.1,14.225179
3636.0,415.3833333333333,3660.0,413.60522,338.8833,22.049456
3637.0,413.45,3661.0,411.6719,305.4,34.797615
3638.0,418.68333333333334,3662.0,416.90524,309.4,34.746365
3639.0,455.53333333333336,3663.0,453.75525,313.58334,44.700047
3640.0,497.3,3664.0,495.5219,290.05,70.84017
3641.0,327.6666666666667,3665.0,325.88858,339.41666,3.9856844
3642.0,312.85,3666.0,311.0719,266.69998,16.63739
3643.0,315.71666666666664,3667.0,313.93857,219.16666,43.24194
3644.0,279.75,3668.0,277.9719,318.38333,12.6926985
3645.0,259.8666666666667,3669.0,258.08856,248.44998,3.8794854
3646.0,220.0,3670.0,218.2219,225.56667,3.2561426
3647.0,303.28333333333336,3671.0,301.50525,232.68332,29.577509
3648.0,238.35,3672.0,236.5719,180.45,31.101084
3649.0,219.68333333333334,3673.0,217.90523,190.48332,14.395961
3650.0,191.71666666666667,3674.0,189.93857,225.06667,15.607863
3651.0,185.13333333333333,3675.0,183.35522,188.06667,2.5051973
3652.0,174.11666666666667,3676.0,172.33856,192.09999,10.287053
3653.0,178.73333333333332,3677.0,176.95523,177.71666,0.42845103
3654.0,232.93333333333334,3678.0,231.15523,175.18332,31.95048
3655.0,204.23333333333332,3679.0,202.45523,180.83333,11.956813
3656.0,175.95,3680.0,174.1719,212.66666,18.10098
3657.0,297.05,3681.0,295.2719,263.81665,11.923152
