hour,true_hourly_energy,avg_invocation_rate
815,718023.5346760001,170.5
816,635922.0776760001,127.53333333333333
817,555018.026376,100.13333333333334
818,419736.96633,57.18333333333333
819,311786.94718200003,28.683333333333334
820,264952.977884,17.766666666666666
821,265640.896204,18.233333333333334
822,272848.19042400003,19.6
823,363048.40451400005,41.35
824,526129.3754680001,87.13333333333334
825,696529.4276820001,175.63793103448276
826,745167.6378560001,229.44827586206895
827,740660.2552060001,251.91228070175438
828,775439.4892320001,242.3
829,767102.7699940001,215.41666666666666
830,766071.263154,213.98333333333332
831,752403.1449760001,237.3793103448276
832,769823.8243060001,218.18333333333334
833,764290.540184,210.96666666666667
834,762937.5055460001,211.75
835,776163.2547260001,225.08333333333334
836,777162.1334520001,254.56666666666666
837,776556.8040480001,234.16666666666666
838,772764.5040460001,234.98333333333332
839,729479.7884380001,182.88333333333333
840,656073.170042,137.68333333333334
841,547267.9864060001,95.15
842,380282.68148,46.2
843,298447.164206,25.45
844,269765.836954,18.883333333333333
845,249161.67163400003,14.283333333333333
846,251827.134318,14.883333333333333
847,324923.385946,32.416666666666664
848,538026.2114700001,90.68333333333334
849,677065.5083720001,146.8
850,752518.7260120001,197.9
851,753553.665826,212.28813559322035
852,766679.3192200001,214.26666666666668
853,767630.9219980001,213.21666666666667
854,760935.8227160001,208.8
855,766404.6260780001,215.95
856,732964.4410260001,223.4561403508772
857,771780.3991960001,223.86666666666667
858,776524.6240720002,230.66666666666666
859,761691.8734680001,206.53333333333333
860,776172.4081560001,223.56666666666666
861,769274.3925920001,223.2
862,762658.0405740001,208.55
863,727123.0789060001,184.55
864,647304.672998,135.88333333333333
865,510225.50457600004,83.66666666666667
866,412396.09000200004,54.21666666666667
867,324674.72577,31.75
868,261101.46194600002,16.95
869,285409.521742,22.816666666666666
870,281452.241706,21.95
871,290643.449282,23.783333333333335
872,463771.67143800005,70.05
873,651033.2226760001,135.2
874,724830.028352,175.4
875,764072.909878,209.75
876,750586.7799760001,200.13333333333333
877,753165.9850880001,199.9
878,762902.855498,212.68333333333334
879,772808.585272,219.9
880,773653.2603960001,227.96666666666667
881,772724.40286,220.06666666666666
882,755315.164972,203.1
883,765994.9126820001,209.71666666666667
884,770158.6016340001,224.78333333333333
885,739657.33504,185.96666666666667
886,726916.4345800001,178.9
887,684009.0231440001,153.13333333333333
888,580116.3930980001,105.65
889,477178.73767800006,72.11666666666666
890,355986.627686,39.583333333333336
891,305062.96390800003,27.066666666666666
892,295173.41729,25.216666666666665
893,235927.821556,11.333333333333334
894,247685.41624400002,13.9
895,338141.193266,35.083333333333336
896,551520.93162,97.6
897,740659.5996380001,190.48333333333332
898,748153.6878020001,228.8793103448276
899,777796.00366,229.9
900,708025.109044,225.12727272727273
901,741534.4508480001,185.73333333333332
902,748910.3266840001,194.16666666666666
903,776427.6840420001,238.51666666666668
904,778738.681682,233.51666666666668
905,767203.9047360001,210.5
906,737055.3468620001,214.77586206896552
907,767166.6390500001,213.51666666666668
908,779144.0088620001,232.31666666666666
909,779478.3376320001,225.93333333333334
910,755307.899328,200.96666666666667
911,718148.3009540001,174.08333333333334
912,625063.8092260001,126.08333333333333
913,460532.983926,68.01666666666667
914,340904.28871600004,35.766666666666666
915,328116.45448,32.833333333333336
916,275318.574442,20.883333333333333
917,242480.298356,12.833333333333334
918,277721.313854,21.183333333333334
919,358216.008462,40.85
920,544591.759724,93.46666666666667
921,718008.8547080001,171.63333333333333
922,767152.245068,211.9
923,772847.6003780001,223.35
924,726497.5650240001,197.0344827586207
925,729463.6176720001,177.06666666666666
926,745197.8703620001,190.75
927,759477.3901520001,223.32203389830508
928,772343.055152,224.76666666666668
929,766016.6105160001,209.53333333333333
930,716142.2262560001,202.10526315789474
931,740046.7619360001,184.4
932,768564.785228,216.23333333333332
933,773195.3443860001,223.58333333333334
934,759495.0040840001,204.36666666666667
935,701858.0080400001,163.6
936,561677.42617,99.05
937,473157.686668,72.13333333333334
938,343689.59666000004,36.666666666666664
939,321201.051434,31.383333333333333
940,314009.631172,30.066666666666666
941,230685.66305600002,10.2
942,243719.339482,13.05
943,356536.45996600005,40.38333333333333
944,549335.494212,95.16666666666667
945,697434.5949700001,158.95
946,749562.5253740001,193.68333333333334
947,767014.4265660001,243.94915254237287
948,758558.9247440001,211.83333333333334
949,741330.6544340001,187.38333333333333
950,743027.956922,188.35
951,756010.068818,217.40677966101694
952,760159.8577980001,232.25423728813558
953,763811.3766360001,229.05084745762713
954,365841.2838060001,320.43333333333334
955,534325.498416,318.8837209302326
956,605528.2056620001,319.734693877551
957,683557.545214,298.8333333333333
958,775643.1503500001,263.3833333333333
959,747677.5234060001,206.68333333333334
960,613577.641622,122.08333333333333
961,516069.48436400003,84.96666666666667
962,360017.99720600003,40.28333333333333
963,285024.84088000003,22.566666666666666
964,259813.252382,16.75
965,248133.566612,14.033333333333333
966,263234.49222200003,17.383333333333333
967,396730.70325,50.61666666666667
968,600021.6623780001,113.91666666666667
969,749797.1128180001,211.77966101694915
970,770137.7498760001,220.96666666666667
971,763687.2013460001,259.23728813559325
972,777895.94746,246.6
973,768077.990372,222.1
974,735625.9307880001,207.06896551724137
975,764596.6601620001,208.31666666666666
976,756817.025906,201.38333333333333
977,745292.9453100001,190.81666666666666
978,733414.2829920001,181.43333333333334
979,749384.08518,190.83333333333334
980,739703.7059960001,206.24137931034483
981,757459.5854160001,200.96666666666667
982,750642.8702740001,196.91666666666666
983,681513.0444260001,152.28333333333333
984,574525.6842680001,105.56666666666666
985,223973.94182200002,8.716666666666667
986,223587.50275,8.683333333333334
987,200184.735542,3.6166666666666667
988,200867.89647600002,3.7666666666666666
989,203354.38674800002,4.3
990,230666.207636,10.4
991,290938.313306,23.916666666666668
992,483925.98083200003,75.36666666666666
993,697571.98516,158.43333333333334
994,754061.6596540001,203.81666666666666
995,753908.5035860001,211.98305084745763
996,731216.9593300001,185.58333333333334
997,710941.8703680001,165.53333333333333
998,725341.0081200001,178.3
999,740660.9701800001,187.8
1000,704737.944644,203.82142857142858
1001,735807.8505700001,196.5593220338983
1002,749046.0970080001,193.93333333333334
1003,749395.0685540001,197.95
