mc_mean,mc_median,std,p05,p50,p95,true_hourly_carbon,mc_mean_minus_truth
241177607.91276592,240842990.39018303,15423168.388089258,217989616.56650802,240842990.39018303,275497013.16143847,227991494.72430953,13186113.188456386
231380978.94048092,230465275.61460704,15887502.498585703,207007223.31318036,230465275.61460704,263886718.591891,209546356.943149,21834621.997331917
196026947.17073664,196501115.58822408,13122427.044066466,173556704.76841882,196501115.58822408,215103644.29130146,173962889.28958207,22064057.881154567
174550190.02663058,173443930.85476336,14043848.384647364,152397878.4609248,173443930.85476336,200097829.4472615,139461473.66536817,35088716.36126241
142038024.9092168,141887330.80588567,10026429.412644489,126293562.66124643,141887330.80588567,159629178.51302755,108205319.89562626,33832705.01359053
111900918.90170802,112530289.53328183,12195993.282851078,88170947.76881754,112530289.53328183,129620178.61734062,95242075.28294301,16658843.618765011
99407100.8485173,100607038.10802111,9339090.757302126,81748694.54773526,100607038.10802111,112740821.35736522,80816997.68204132,18590103.16647598
87470657.29345697,87047079.35802293,8569003.725695714,74811270.34923428,87047079.35802293,102005675.98372221,80022813.68311866,7447843.610338315
86309495.40432048,86102969.50706375,8522337.652680874,73323128.30608816,86102969.50706375,100746424.84494069,75996975.73446114,10312519.669859335
93811267.3458051,94552397.88929275,9043249.16072362,76342398.72342151,94552397.88929275,107048334.65527625,82771109.12438291,11040158.22142218
110344374.04531097,110210002.35649303,7508691.464258891,97797476.59149414,110210002.35649303,122470090.8763571,93704053.39114384,16640320.65416713
142132266.63399532,142777917.6347735,10952776.369732417,123908855.89501674,142777917.6347735,159216423.36553335,142622071.3738245,-489804.7398291826
178441930.07693616,178974002.52117926,13185024.179871721,157188307.11271065,178974002.52117926,198216014.9419575,199296771.76022643,-20854841.683290273
208806796.32964185,208202569.6981831,13934365.413731493,185843332.316526,208202569.6981831,235301794.54919362,254362702.2593206,-45555905.92967874
232725621.9104137,231641033.4045092,15341393.135886354,208410695.25133243,231641033.4045092,259582420.35486004,254625678.1028176,-21900056.192403883
219359836.00466195,219289950.58483544,13817723.530996814,197743777.16851893,219289950.58483544,242118939.35725024,254098216.8271752,-34738380.82251325
222180666.7822946,221881755.12037355,15052854.91973278,196437395.67156315,221881755.12037355,250065536.58010128,257383598.60019794,-35202931.81790334
220467689.37428722,219555449.50506994,12360759.805193815,199065014.34338441,219555449.50506994,243017109.5886282,239196365.01186708,-18728675.63757986
224451934.05801558,223950788.56488687,12661589.857982902,205870628.70755568,223950788.56488687,249519106.1647876,255236969.73057133,-30785035.672555745
221633274.5117228,222163157.65518183,12052265.428222787,201725149.7444973,222163157.65518183,243024774.59783503,249147696.52882767,-27514422.017104864
226555449.7331519,226835871.01370215,14025522.565675754,204737470.39683583,226835871.01370215,249784041.28499052,257754553.77267414,-31199104.03952223
237314017.47129288,237355346.4458055,13905767.47424217,213769971.50142545,237355346.4458055,260850205.2354696,269149248.10247326,-31835230.631180376
256076835.25382385,256024664.21852228,15943954.497660656,228589782.547602,256024664.21852228,282055921.42913693,283010003.8285229,-26933168.574699074
289400020.39416087,288285277.60281694,14002064.284024071,269656699.4661067,288285277.60281694,318722020.2159898,290124189.2186655,-724168.8245046139
284843974.21217763,284431727.586995,14206329.420312418,259732299.86129564,284431727.586995,310447307.5473735,288635175.8294768,-3791201.6172991395
269093273.9939358,268239383.02552783,16185333.311152346,241106806.6488017,268239383.02552783,299216642.3540936,282122758.34422314,-13029484.350287318
234131677.2248668,231995967.27551177,15133499.272101887,211926188.15322816,231995967.27551177,263002863.31520987,231210329.3822157,2921347.842651099
199004802.28004587,198130794.52962762,11187943.778680816,181712619.21814638,198130794.52962762,219542208.64661098,185720144.74029386,13284657.539752007
163677953.7537564,162912704.24548662,9359076.2090363,149769986.19404453,162912704.24548662,180804466.28260443,155406524.0350667,8271429.71868971
139525878.6430995,137402200.77160412,12312538.938308138,122894839.77085502,137402200.77160412,162729822.4608984,125015278.11177996,14510600.531319529
111125021.83926883,110570985.15199575,7213414.407743935,100582079.99191609,110570985.15199575,125573006.0006741,108798318.2185388,2326703.6207300276
104583127.55451176,102542294.06690323,10206874.556707678,89609257.95032753,102542294.06690323,125921875.88615215,104359442.25560346,223685.29890829325
99688747.89241232,97533246.30091882,10613357.95147755,86758827.73632337,97533246.30091882,123452587.29506494,103771857.0917375,-4083109.199325174
107011431.51587158,106959622.06998684,6370527.460429798,96681531.64357883,106959622.06998684,119110128.23588403,116450454.13394538,-9439022.618073791
137237471.04459327,136447365.9434523,11095767.45958239,120461331.84933744,136447365.9434523,156970270.2481403,133771252.9839952,3466218.0605980754
177234112.00531498,176425950.33344632,10387428.504019395,161947179.7799243,176425950.33344632,196636605.15266487,182170401.6701714,-4936289.664856434
218894891.91510597,217994139.82371747,11822705.629103413,198675630.42519063,217994139.82371747,241624239.70963824,237005550.16539052,-18110658.250284553
249581779.4490534,249594237.09857565,13861543.30686737,225739577.4599376,249594237.09857565,275794851.6344747,257837414.37914628,-8255634.930092871
