,price_cost,energy_cost
n,190.0,190.0
mean,8331.44956483447,556.5806522654956
std,663.1665259054485,1180.5527983669701
p50,8375.54181113539,435.0310360646373
p75,8932.473729579424,462.60054758958836
p90,9136.34757090823,470.1756088616753
p95,9311.47467151177,474.18123167291753
p99,9465.581413957781,1700.3557024075835
ci90_low,8252.306712488635,415.6924859334389
ci90_high,8410.592417180304,697.4688185975523
min,6854.930743595673,383.52082893899694
max,9534.661425127688,12349.111041987042
