file,optimizer_objective,run_date,run_time,price_cost,energy_cost,duration,feasible,price_regret,energy_regret
bo_results_energy_20260105_035853.json,energy,20260105,035853,7124.098468262838,394.7963706245306,2.9952061884105206,True,1.0815282274549731,1.029400076435815
bo_results_energy_20260105_061317.json,energy,20260105,061317,7308.213594349511,388.80435091571366,2.809305502101779,True,1.1094792316207993,1.013776362528558
bo_results_energy_20260105_075601.json,energy,20260105,075601,7838.292545544908,383.52082893899694,2.683346384204924,True,1.189951918944188,1.0
bo_results_energy_20260105_094046.json,energy,20260105,094046,7775.157838171123,386.7549233339145,2.7003054269589484,True,1.1803672720641587,1.0084326434208661
bo_results_energy_20260105_130037.json,energy,20260105,130037,7368.336409350507,401.23268341137987,2.3115495783276856,True,1.118606635155058,1.046182249139851
bo_results_energy_20260105_160801_20260105_130037.json,energy,,,7767.292470444826,388.8122392417743,2.9124979181215167,True,1.1791732097904266,1.0137969307101675
bo_results_energy_20260105_181449_20260105_112623.json,energy,,,7813.702481265537,390.361623889338,2.9028222993947566,True,1.1862188362598949,1.0178368277135454
bo_results_energy_20260106_025007.json,energy,20260106,025007,7554.935042989181,408.267740124645,2.518839846830815,True,1.1469346671697482,1.0645255989201678
bo_results_energy_20260106_052425.json,energy,20260106,052425,6854.930743595673,386.1045137814519,2.9064843486994505,True,1.0406651633852886,1.0067367523417246
bo_results_energy_20260106_075919.json,energy,20260106,075919,7660.537299728034,394.1425961199984,2.8788545290008187,True,1.1629664250202074,1.0276954115122936
bo_results_energy_20260106_103414.json,energy,20260106,103414,7640.5397647547425,387.6363241721072,2.6789836469106376,True,1.1599305463543688,1.0107308258706462
bo_results_energy_20260106_131124.json,energy,20260106,131124,7624.263681794149,417.1943213625498,2.221031486056745,True,1.157459631159597,1.087800948169386
bo_results_energy_20260106_154951.json,energy,20260106,154951,7063.537974556221,390.9772457503316,2.5110474610701203,True,1.0723343787590152,1.0194420126592934
bo_results_price_20260105_051239.json,price,20260105,051239,7437.488589149708,401.0408184783474,2.6835973262786865,True,1.1291048104366126,1.0456819766160268
bo_results_price_20260105_070411.json,price,20260105,070411,7430.019766747348,397.5718188199386,2.9042499028146267,True,1.1279709487571332,1.0366368364394014
bo_results_price_20260105_084828.json,price,20260105,084828,7151.220542016388,393.15628520815187,2.5963881267234683,True,1.0856457011931953,1.0251236844053848
bo_results_price_20260105_103344.json,price,20260105,103344,6587.066603917587,389.781065783341,2.7894374430179596,True,1.0,1.016323068714841
bo_results_price_20260105_120733.json,price,20260105,120733,7523.150729405598,411.4502767978681,2.8404408702626824,True,1.1421094064740875,1.0728238096901737
bo_results_price_20260105_144637_20260105_120733.json,price,,,7252.868347371118,391.49111966047474,2.7520395666360855,True,1.1010771233218672,1.0207818979311436
bo_results_price_20260105_185649_20260105_084828.json,price,,,6992.621913095219,399.0348637639398,2.875087969005108,True,1.0615684239379684,1.040451609545855
bo_results_price_20260105_202201_20260105_070411.json,price,,,7228.1963818390905,394.5096892064624,2.5709572145715356,True,1.0973316069918284,1.0286525774828603
bo_results_price_20260106_013340.json,price,20260106,013340,6917.591423059676,400.5908969584949,2.798389410134405,True,1.050177846834813,1.044508842105713
bo_results_price_20260106_040702.json,price,20260106,040702,7103.823325084663,403.290854501106,2.9011152437888086,True,1.0784502043534434,1.0515487662477223
bo_results_price_20260106_064209.json,price,20260106,064209,7164.990508959446,393.11900840205715,2.7934948070906103,True,1.087736156288164,1.0250264881039535
bo_results_price_20260106_091706.json,price,20260106,091706,7207.993702834045,394.68797918256547,2.8456820668652654,True,1.0942645848680455,1.0291174543882329
bo_results_price_20260106_115304.json,price,20260106,115304,7170.84748793732,415.86994880366257,2.5270845419727266,True,1.0886253197550084,1.084347752256791
bo_results_price_20260106_143108.json,price,20260106,143108,7004.927862513031,389.4915231745919,2.657260126899928,True,1.0634366226609773,1.0155681094351845
