,price_cost,energy_cost
n,252.0,252.0
mean,8331.311154631958,481.72606538538327
std,664.5071937696661,731.492665977076
p50,8344.95054664796,438.2687053437727
p75,8887.83263565269,460.3354726255726
p90,9141.91304400843,468.37316888321783
p95,9279.087564518668,471.7771921258029
p99,9506.608182923119,476.16769627827966
ci90_low,8262.451424116114,405.92494791703314
ci90_high,8400.170885147802,557.5271828537334
min,6587.066603917587,384.36094728454765
max,9717.308068197022,12040.43436204883
