hour,hour_invocation,hour_of_day,day_of_week
20412,18.0,12,3
20413,14.0,13,3
20414,14.0,14,3
20415,10.0,15,3
20416,21.0,16,3
20417,10.0,17,3
20418,8.0,18,3
20419,16.0,19,3
20420,8.0,20,3
20421,12.0,21,3
20422,10.0,22,3
20423,23.0,23,3
20424,18.0,0,4
20425,20.0,1,4
20426,7.0,2,4
20427,25.0,3,4
20428,13.0,4,4
20429,15.0,5,4
20430,7.0,6,4
20431,28.0,7,4
20432,33.0,8,4
20433,25.0,9,4
20434,19.0,10,4
20435,16.0,11,4
20436,14.0,12,4
20437,19.0,13,4
20438,3.0,14,4
20439,7.0,15,4
20440,15.0,16,4
20441,6.0,17,4
20442,16.0,18,4
20443,21.0,19,4
20444,9.0,20,4
20445,13.0,21,4
20446,4.0,22,4
20447,8.0,23,4
20448,22.0,0,5
20449,16.0,1,5
20450,9.0,2,5
20451,6.0,3,5
20452,12.0,4,5
20453,5.0,5,5
20454,17.0,6,5
20455,3.0,7,5
20456,18.0,8,5
20457,24.0,9,5
20458,12.0,10,5
20459,35.0,11,5
20460,50.0,12,5
20461,38.0,13,5
20462,14.0,14,5
20463,6.0,15,5
20464,10.0,16,5
20465,12.0,17,5
20466,17.0,18,5
20467,9.0,19,5
20468,4.0,20,5
20469,7.0,21,5
20470,21.0,22,5
20471,8.0,23,5
20472,29.0,0,6
20473,17.0,1,6
20474,10.0,2,6
20475,6.0,3,6
20476,3.0,4,6
20477,10.0,5,6
20478,8.0,6,6
20479,23.0,7,6
20480,8.0,8,6
20481,10.0,9,6
20482,17.0,10,6
20483,8.0,11,6
20484,9.0,12,6
20485,10.0,13,6
20486,8.0,14,6
20487,5.0,15,6
20488,9.0,16,6
20489,7.0,17,6
20490,4.0,18,6
20491,15.0,19,6
20492,16.0,20,6
20493,16.0,21,6
20494,12.0,22,6
20495,9.0,23,6
20496,9.0,0,0
20497,10.0,1,0
20498,10.0,2,0
20499,12.0,3,0
20500,13.0,4,0
20501,5.0,5,0
20502,35.0,6,0
20503,23.0,7,0
20504,10.0,8,0
20505,10.0,9,0
20506,14.0,10,0
20507,10.0,11,0
20508,7.0,12,0
20509,8.0,13,0
20510,9.0,14,0
20511,6.0,15,0
20512,17.0,16,0
20513,5.0,17,0
20514,3.0,18,0
20515,23.0,19,0
20516,12.0,20,0
20517,6.0,21,0
20518,9.0,22,0
20519,9.0,23,0
20520,12.0,0,1
20521,10.0,1,1
20522,18.0,2,1
20523,28.0,3,1
20524,17.0,4,1
20525,15.0,5,1
20526,23.0,6,1
20527,15.0,7,1
20528,18.0,8,1
20529,17.0,9,1
20530,8.0,10,1
20531,10.0,11,1
20532,16.0,12,1
20533,5.0,13,1
20534,14.0,14,1
20535,5.0,15,1
20536,15.0,16,1
20537,7.0,17,1
20538,13.0,18,1
20539,8.0,19,1
20540,7.0,20,1
20541,12.0,21,1
20542,8.0,22,1
20543,5.0,23,1
20544,7.0,0,2
20545,10.0,1,2
20546,12.0,2,2
20547,9.0,3,2
20548,25.0,4,2
20549,38.0,5,2
20550,39.0,6,2
20551,30.0,7,2
20552,51.0,8,2
20553,63.0,9,2
20554,77.0,10,2
20555,68.0,11,2
20556,71.0,12,2
20557,66.0,13,2
20558,77.0,14,2
20559,62.0,15,2
20560,62.0,16,2
20561,36.0,17,2
20562,57.0,18,2
20563,59.0,19,2
20564,42.0,20,2
20565,15.0,21,2
20566,16.0,22,2
20567,9.0,23,2
20568,18.0,0,3
20569,21.0,1,3
20570,16.0,2,3
20571,4.0,3,3
20572,14.0,4,3
20573,21.0,5,3
20574,12.0,6,3
20575,13.0,7,3
20576,17.0,8,3
20577,24.0,9,3
20578,23.0,10,3
20579,19.0,11,3
20580,15.0,12,3
20581,23.0,13,3
20582,13.0,14,3
20583,9.0,15,3
20584,16.0,16,3
20585,18.0,17,3
20586,18.0,18,3
20587,19.0,19,3
20588,33.0,20,3
20589,32.0,21,3
20590,21.0,22,3
20591,35.0,23,3
20592,38.0,0,4
20593,29.0,1,4
20594,17.0,2,4
20595,21.0,3,4
20596,29.0,4,4
20597,27.0,5,4
20598,36.0,6,4
20599,36.0,7,4
20600,42.0,8,4
20601,21.0,9,4
20602,29.0,10,4
20603,29.0,11,4
20604,19.0,12,4
20605,35.0,13,4
20606,38.0,14,4
20607,36.0,15,4
20608,33.0,16,4
20609,28.0,17,4
20610,15.0,18,4
20611,41.0,19,4
20612,36.0,20,4
20613,45.0,21,4
20614,49.0,22,4
20615,58.0,23,4
20616,78.0,0,5
20617,87.0,1,5
20618,81.0,2,5
20619,77.0,3,5
20620,92.0,4,5
20621,88.0,5,5
20622,76.0,6,5
20623,87.0,7,5
20624,84.0,8,5
20625,69.0,9,5
20626,70.0,10,5
20627,74.0,11,5
20628,46.0,12,5
20629,44.0,13,5
20630,40.0,14,5
20631,46.0,15,5
20632,49.0,16,5
20633,39.0,17,5
