timestamp,load_name,sample_index,elapsed_s,dt_s,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w
2025-12-19T04:28:25,rps-40,0,1.004745,1.004745,132.25841342763846,161.34942146777698,293.6078348954154
2025-12-19T04:28:26,rps-40,1,2.006185,1.001439,128.79384577247228,151.48098143030577,280.27482720277806
2025-12-19T04:28:27,rps-40,2,3.007589,1.001405,123.83536674933836,147.7241716575741,271.55953840691245
2025-12-19T04:28:28,rps-40,3,4.009032,1.001443,143.43265250327246,145.6910453089811,289.12369781225357
2025-12-19T04:28:29,rps-40,4,5.011006,1.001974,121.66956241518324,144.03545311229783,265.70501552748107
2025-12-19T04:28:30,rps-40,5,6.012886,1.001879,122.69444148300873,145.50380833501794,268.1982498180267
2025-12-19T04:28:31,rps-40,6,7.014897,1.002011,125.94673843414535,142.7761274985062,268.72286593265153
2025-12-19T04:28:32,rps-40,7,8.016947,1.00205,135.16474690999573,145.9725832550955,281.1373301650912
2025-12-19T04:28:33,rps-40,8,9.018911,1.001965,116.30161444293933,143.86507012983375,260.1666845727731
2025-12-19T04:28:34,rps-40,9,10.020326,1.001415,113.129695838592,153.3013349737534,266.4310308123454
2025-12-19T04:28:35,rps-40,10,11.022405,1.002079,126.5410389134528,143.1475238650115,269.6885627784643
2025-12-19T04:28:36,rps-40,11,12.023879,1.001473,130.38573815660482,143.09543335084624,273.48117150745105
2025-12-19T04:28:37,rps-40,12,13.025922,1.002043,136.83121400198436,158.82278279013076,295.6539967921151
2025-12-19T04:28:38,rps-40,13,14.027569,1.001647,118.24315024974274,139.02564652590695,257.26879677564966
2025-12-19T04:28:39,rps-40,14,15.028869,1.001301,136.88847785715754,149.9271470028992,286.81562486005674
2025-12-19T04:28:40,rps-40,15,16.030666,1.001797,126.09416478808903,158.72618610403822,284.82035089212724
2025-12-19T04:28:41,rps-40,16,17.032648,1.001981,133.06935649447593,151.46395066478942,284.53330715926535
2025-12-19T04:28:42,rps-40,17,18.03446,1.001812,129.7245686627583,149.22183468622856,278.94640334898685
2025-12-19T04:28:43,rps-40,18,19.03638,1.00192,119.42673999884445,133.16259708689645,252.5893370857409
2025-12-19T04:28:44,rps-40,19,20.037859,1.001479,132.69376616641605,162.5237741439807,295.21754031039677
2025-12-19T04:28:45,rps-40,20,21.039307,1.001448,131.87079715878838,163.87168256380798,295.7424797225964
2025-12-19T04:28:46,rps-40,21,22.040847,1.001539,116.25551098951618,150.85128013178567,267.10679112130185
2025-12-19T04:28:47,rps-40,22,23.042259,1.001412,123.27162118999635,162.82484754286673,286.09646873286306
2025-12-19T04:28:48,rps-40,23,24.043845,1.001586,127.199948593321,155.302577237299,282.50252583062
2025-12-19T04:28:49,rps-40,24,25.045817,1.001972,126.88322360110922,154.62916532713143,281.5123889282406
2025-12-19T04:28:50,rps-40,25,26.04722,1.001403,128.76864157685858,137.84706769764884,266.6157092745074
2025-12-19T04:28:51,rps-40,26,27.048642,1.001422,128.67878965318727,154.3233560299438,283.00214568313106
2025-12-19T04:28:52,rps-40,27,28.050077,1.001436,128.10943901673156,149.286498911454,277.39593792818556
2025-12-19T04:28:53,rps-40,28,29.051497,1.00142,119.6374793077568,144.29814939607232,263.93562870382914
2025-12-19T04:28:54,rps-40,29,30.052866,1.001369,136.00794661846146,144.81806966507835,280.82601628353984
2025-12-19T04:28:55,rps-40,30,31.054881,1.002015,124.20907219448956,148.3045029036125,272.5135750981021
2025-12-19T04:28:56,rps-40,31,32.056289,1.001408,123.07903305345374,156.26207409765271,279.3411071511065
2025-12-19T04:28:57,rps-40,32,33.058292,1.002003,121.41050339489857,156.95212220260896,278.36262559750753
2025-12-19T04:28:58,rps-40,33,34.05974,1.001447,119.70621507275685,134.79444836983373,254.50066344259056
2025-12-19T04:28:59,rps-40,34,35.061773,1.002033,132.34351915133055,146.57272645582444,278.916245607155
2025-12-19T04:29:00,rps-40,35,36.063778,1.002005,125.57585887432862,145.12133058410862,270.69718945843726
2025-12-19T04:29:01,rps-40,36,37.065229,1.001451,132.5470803389782,141.02987072379028,273.57695106276844
2025-12-19T04:29:02,rps-40,37,38.066783,1.001554,118.07465967790202,148.3629085878746,266.43756826577663
2025-12-19T04:29:03,rps-40,38,39.068193,1.00141,132.00134311925333,157.11863455053808,289.1199776697914
2025-12-19T04:29:04,rps-40,39,40.069634,1.001442,124.29740829503058,143.09051794658495,267.38792624161556
2025-12-19T04:29:05,rps-40,40,41.071576,1.001941,116.47571908994925,145.5867896207024,262.0625087106516
2025-12-19T04:29:06,rps-40,41,42.073542,1.001966,129.7954223056006,153.0195361698968,282.8149584754974
2025-12-19T04:29:07,rps-40,42,43.075165,1.001623,120.4635805366715,158.31618399335414,278.77976453002566
2025-12-19T04:29:08,rps-40,43,44.076586,1.001422,129.7227135170826,149.9464726012894,279.669186118372
2025-12-19T04:29:09,rps-40,44,45.078546,1.001959,118.17385614130943,149.0069201825456,267.180776323855
2025-12-19T04:29:10,rps-40,45,46.079954,1.001409,121.1398462030545,148.38118967413644,269.5210358771909
2025-12-19T04:29:11,rps-40,46,47.081384,1.00143,117.47233349416113,134.4684933967967,251.94082689095785
2025-12-19T04:29:12,rps-40,47,48.082979,1.001595,119.2612528813438,125.9445448949501,245.20579777629388
