hostname,timestamp,rps,sample_index,elapsed_s,dt_s,input_size,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w
intel-manager,2025-12-21T07:46:33,142,0,1.004539,1.004539,940930,155.48419928264244,195.59883997477914,351.08303925742155
intel-manager,2025-12-21T07:46:34,142,1,2.005971,1.001432,940930,183.96373787906802,215.21223094939614,399.1759688284642
intel-manager,2025-12-21T07:46:35,142,2,3.007413,1.001441,940930,154.70847901826087,211.19039353989072,365.8988725581516
intel-manager,2025-12-21T07:46:36,142,3,4.009194,1.001782,940930,157.88589238319693,196.2186807758565,354.1045731590534
intel-manager,2025-12-21T07:46:37,142,4,5.010932,1.001737,940930,150.9559757018139,195.49901956901184,346.45499527082575
intel-manager,2025-12-21T07:46:38,142,5,6.012178,1.001246,940930,175.11479825267304,217.04815931239546,392.1629575650685
intel-manager,2025-12-21T07:46:39,142,6,7.014234,1.002056,940930,159.4155492022254,192.16824386301647,351.5837930652419
intel-manager,2025-12-21T07:46:40,142,7,8.016164,1.00193,940930,172.54928914839738,207.1940667830694,379.7433559314668
intel-manager,2025-12-21T07:46:41,142,8,9.017613,1.001449,940930,167.13839124834436,207.67361199501093,374.8120032433553
intel-manager,2025-12-21T07:46:42,142,9,10.019257,1.001644,940930,183.2351317942683,217.5394219266267,400.774553720895
intel-manager,2025-12-21T07:46:43,142,10,11.020158,1.000901,940930,204.44885238275296,221.67749586915355,426.1263482519065
intel-manager,2025-12-21T07:46:44,142,11,12.02097,1.000812,940930,157.56203960013062,193.48515953363724,351.0471991337679
intel-manager,2025-12-21T07:46:45,142,12,13.023061,1.002091,940930,178.6922538379405,213.94109294968777,392.6333467876283
intel-manager,2025-12-21T07:46:46,142,13,14.025216,1.002155,940930,180.0548251232809,211.63578555435862,391.6906106776395
intel-manager,2025-12-21T07:46:47,142,14,15.026657,1.001441,940930,172.94715805183145,215.29125422474667,388.2384122765781
intel-manager,2025-12-21T07:46:48,142,15,16.028158,1.001501,940930,163.02917574562306,207.714842180787,370.74401792641004
intel-manager,2025-12-21T07:46:49,142,16,17.029589,1.001431,940930,169.42937433587662,214.8448819311364,384.274256267013
intel-manager,2025-12-21T07:46:50,142,17,18.031161,1.001572,940930,168.82676077681847,205.34109072052243,374.1678514973409
intel-manager,2025-12-21T07:46:51,142,18,19.03259,1.001429,940930,173.34755098560362,216.40686647141644,389.75441745702005
intel-manager,2025-12-21T07:46:52,142,19,20.034018,1.001427,940930,179.40944557308566,198.40932045297825,377.81876602606394
intel-manager,2025-12-21T07:46:53,142,20,21.035442,1.001425,940930,166.78342573812415,203.63853496809926,370.42196070622344
intel-manager,2025-12-21T07:46:54,142,21,22.03617,1.000727,940930,162.86619650218114,216.8809182568866,379.7471147590677
intel-manager,2025-12-21T07:46:55,142,22,23.037767,1.001598,940930,163.92514707008752,190.29724658497892,354.2223936550664
intel-manager,2025-12-21T07:46:56,142,23,24.039425,1.001657,940930,163.62991671010383,203.68811281240468,367.3180295225085
intel-manager,2025-12-21T07:46:57,142,24,25.040868,1.001443,940930,166.09794414069853,213.48695280376978,379.5848969444683
intel-manager,2025-12-21T07:46:58,142,25,26.042859,1.001991,940930,158.55195274202617,212.77411659442137,371.3260693364475
intel-manager,2025-12-21T07:46:59,142,26,27.044467,1.001608,940930,171.66594227899174,208.3324087127382,379.9983509917299
intel-manager,2025-12-21T07:47:00,142,27,28.045888,1.001421,940930,172.76474366476774,203.07383121722253,375.83857488199027
intel-manager,2025-12-21T07:47:01,142,28,29.047426,1.001538,940930,166.3889427814261,217.65599354223207,384.04493632365813
intel-manager,2025-12-21T07:47:02,142,29,30.048168,1.000743,940930,138.89935607713977,196.73046442387192,335.6298205010117
intel-manager,2025-12-21T07:47:03,142,30,31.049824,1.001656,940930,162.46382636364052,220.01098352099567,382.4748098846362
intel-manager,2025-12-21T07:47:04,142,31,32.055742,1.005918,940930,158.08556123359983,192.3368215516535,350.4223827852533
intel-manager,2025-12-21T07:47:05,142,32,33.057464,1.001723,940930,164.10544518845782,193.3296872620534,357.4351324505112
intel-manager,2025-12-21T07:47:06,142,33,34.05917,1.001706,940930,160.10996664700747,204.11771799476182,364.2276846417693
intel-manager,2025-12-21T07:47:07,142,34,35.060792,1.001622,940930,155.94926945559195,202.75178872544137,358.7010581810333
intel-manager,2025-12-21T07:47:08,142,35,36.063428,1.002636,940930,174.46737829669237,215.81568783810562,390.283066134798
intel-manager,2025-12-21T07:47:09,142,36,37.064181,1.000753,940930,165.70328321759843,200.70217998708839,366.40546320468684
intel-manager,2025-12-21T07:47:10,142,37,38.065631,1.00145,940930,151.13162277474336,193.31526882373836,344.4468915984817
intel-manager,2025-12-21T07:47:11,142,38,39.067153,1.001522,940930,151.41106064374978,186.38288927506733,337.79394991881713
intel-manager,2025-12-21T07:47:12,142,39,40.068161,1.001008,940930,176.42471499544962,218.65932415341268,395.0840391488623
intel-manager,2025-12-21T07:47:13,142,40,41.069626,1.001465,940930,183.10018752570608,210.76142794065967,393.8616154663657
intel-manager,2025-12-21T07:47:14,142,41,42.071437,1.001811,940930,175.17422941332765,209.8610249417837,385.03525435511136
intel-manager,2025-12-21T07:47:15,142,42,43.072171,1.000734,940930,147.89599590929873,197.5476520850444,345.4436479943431
intel-manager,2025-12-21T07:47:16,142,43,44.07364,1.001469,940930,167.76967365218852,218.45095807234674,386.2206317245352
intel-manager,2025-12-21T07:47:17,142,44,45.075123,1.001483,940930,186.79241611845376,219.08361175313277,405.87602787158653
intel-manager,2025-12-21T07:47:18,142,45,46.076183,1.00106,940930,185.4313840635122,219.636919887597,405.0683039511092
intel-manager,2025-12-21T07:47:19,142,46,47.078116,1.001933,940930,175.1416787562454,218.36649226823747,393.50817102448286
intel-manager,2025-12-21T07:47:20,142,47,48.0797,1.001584,940930,165.44465588996007,203.39969409632303,368.8443499862831
intel-manager,2025-12-21T07:47:21,142,48,49.081155,1.001455,940930,167.78785516993528,192.1096538821566,359.8975090520919
intel-manager,2025-12-21T07:47:22,142,49,50.082938,1.001784,940930,178.81526677817098,214.7489385764701,393.5642053546411
intel-manager,2025-12-21T07:47:23,142,50,51.084178,1.00124,940930,177.8626106894865,209.32156611193747,387.184176801424
intel-manager,2025-12-21T07:47:24,142,51,52.085923,1.001745,940930,161.33154470968609,191.7351543468466,353.0666990565327
intel-manager,2025-12-21T07:47:25,142,52,53.087366,1.001443,940930,156.10483610775182,192.5138259204853,348.6186620282371
intel-manager,2025-12-21T07:47:26,142,53,54.089414,1.002048,940930,160.86093828983934,191.4190028969867,352.279941186826
intel-manager,2025-12-21T07:47:27,142,54,55.091118,1.001704,940930,147.24950514385625,200.83890101450763,348.0884061583639
intel-manager,2025-12-21T07:47:28,142,55,56.09269,1.001572,940930,157.56856596509937,211.8367601330097,369.4053260981091
intel-manager,2025-12-21T07:47:29,142,56,57.09474,1.00205,940930,162.9539742070911,203.87253280353582,366.8265070106269
intel-manager,2025-12-21T07:47:30,142,57,58.096162,1.001422,940930,169.73067260224363,209.46802240990488,379.1986950121485
