hostname,timestamp,rps,sample_index,elapsed_s,dt_s,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w,input_size
intel-manager,2025-12-19 03:00:00,10,58,59.112051,1.001623,100.291825,111.2042569,211.4960819,563135
intel-manager,2025-12-19 03:00:00,10,59,60.113536,1.001485,98.71264493,115.5519128,214.2645577,563135
,,,,,,,,,
intel-worker1,2025-12-19 02:59:00,10,0,1.004314,1.004314,92.83626937,96.06166618,188.8979355,563135
intel-worker1,2025-12-19 02:59:00,10,1,2.005932,1.001618,94.2603404,94.55307777,188.8134182,563135
intel-worker1,2025-12-19 02:59:00,10,2,3.007639,1.001707,95.63780111,92.97938386,188.617185,563135
intel-worker1,2025-12-19 02:59:00,10,3,4.009292,1.001652,95.88543332,95.15288085,191.0383142,563135
intel-worker1,2025-12-19 02:59:00,10,4,5.011035,1.001744,100.5679033,95.82386896,196.3917723,563135
intel-worker1,2025-12-19 02:59:00,10,5,6.013077,1.002042,102.3369876,91.75467876,194.0916664,563135
intel-worker1,2025-12-19 02:59:00,10,6,7.015107,1.00203,102.9596472,92.38872255,195.3483697,563135
intel-worker1,2025-12-19 02:59:00,10,7,8.016977,1.00187,98.5020943,91.30938849,189.8114828,563135
intel-worker1,2025-12-19 02:59:00,10,8,9.018984,1.002007,94.9547344,91.80974792,186.7644823,563135
intel-worker1,2025-12-19 02:59:00,10,9,10.021022,1.002038,94.29200422,91.97264065,186.2646449,563135
intel-worker1,2025-12-19 02:59:00,10,10,11.023038,1.002016,95.60183803,91.79945399,187.401292,563135
intel-worker1,2025-12-19 02:59:00,10,11,12.024293,1.001255,102.9743451,91.6981784,194.6725235,563135
intel-worker1,2025-12-19 02:59:00,10,12,13.025825,1.001532,95.24169361,91.86132341,187.103017,563135
intel-worker1,2025-12-19 02:59:00,10,13,14.027882,1.002057,102.2544808,96.46282069,198.7173015,563135
intel-worker1,2025-12-19 02:59:00,10,14,15.029941,1.002059,96.97661394,91.76695529,188.7435692,563135
intel-worker1,2025-12-19 02:59:00,10,15,16.031918,1.001977,100.1884299,91.5819946,191.7704245,563135
intel-worker1,2025-12-19 03:00:00,10,16,17.03398,1.002062,102.2790642,93.12438086,195.403445,563135
intel-worker1,2025-12-19 03:00:00,10,17,18.036002,1.002022,106.2963644,95.26267549,201.5590399,563135
intel-worker1,2025-12-19 03:00:00,10,18,19.038314,1.002311,98.87800464,97.50983313,196.3878378,563135
intel-worker1,2025-12-19 03:00:00,10,19,20.040303,1.001989,105.9560715,95.52164893,201.4777205,563135
intel-worker1,2025-12-19 03:00:00,10,20,21.042343,1.00204,100.7842762,95.75414656,196.5384227,563135
intel-worker1,2025-12-19 03:00:00,10,21,22.044419,1.002076,101.8742185,96.85644877,198.7306673,563135
intel-worker1,2025-12-19 03:00:00,10,22,23.046454,1.002035,88.68366923,93.23384498,181.9175142,563135
intel-worker1,2025-12-19 03:00:00,10,23,24.048381,1.001927,93.96562393,95.24318858,189.2088125,563135
intel-worker1,2025-12-19 03:00:00,10,24,25.050267,1.001886,95.70966083,93.88918362,189.5988445,563135
