hostname,timestamp,rps,sample_index,elapsed_s,dt_s,input_size,rapl_package_0_0_w,rapl_package_1_1_w,power_total_w
intel-manager,2026-01-03T06:28:42,97,0,1.00439,1.00439,563135,98.60479732108597,105.96881403388409,204.57361135497007
intel-manager,2026-01-03T06:28:43,97,1,2.005885,1.001495,563135,97.71270320236462,103.39468358862784,201.10738679099245
intel-manager,2026-01-03T06:28:44,97,2,3.007546,1.001661,563135,96.15115986318423,101.51406502254032,197.66522488572457
intel-manager,2026-01-03T06:28:45,97,3,4.009178,1.001632,563135,95.05612943034325,101.58165382492179,196.63778325526505
intel-manager,2026-01-03T06:28:46,97,4,5.011137,1.001958,563135,93.78740254490094,101.154121781412,194.94152432631296
intel-manager,2026-01-03T06:28:47,97,5,6.013155,1.002018,563135,94.3917967278251,100.83927986897778,195.2310765968029
intel-manager,2026-01-03T06:28:48,97,6,7.014999,1.001844,563135,94.70117273372587,101.1985739852443,195.89974671897016
intel-manager,2026-01-03T06:28:49,97,7,8.016769,1.00177,563135,94.31257592682633,97.6055038099678,191.91807973679414
intel-manager,2026-01-03T06:28:50,97,8,9.01827,1.001501,563135,95.84024195614293,99.4619326330037,195.30217458914663
intel-manager,2026-01-03T06:28:51,97,9,10.020317,1.002047,563135,96.27011207211041,99.16871314730797,195.4388252194184
intel-manager,2026-01-03T06:28:52,97,10,11.02239,1.002072,563135,97.67300987247764,99.35640631231246,197.02941618479008
intel-manager,2026-01-03T06:28:53,97,11,12.023942,1.001553,563135,95.78475633183648,99.65483671551812,195.4395930473546
intel-manager,2026-01-03T06:28:54,97,12,13.025992,1.002049,563135,94.45833173984059,101.06592682981369,195.52425856965428
intel-manager,2026-01-03T06:28:55,97,13,14.02749,1.001498,563135,96.25845238496049,99.67062999772175,195.92908238268222
intel-manager,2026-01-03T06:28:56,97,14,15.029091,1.001601,563135,97.34518423309392,101.64492942377646,198.9901136568704
intel-manager,2026-01-03T06:28:57,97,15,16.030578,1.001487,563135,97.85777285969974,97.18378908481361,195.04156194451335
intel-manager,2026-01-03T06:28:58,97,16,17.032227,1.00165,563135,96.61996794733724,96.72684763666199,193.34681558399922
intel-manager,2026-01-03T06:28:59,97,17,18.03373,1.001503,563135,96.54018602998138,96.20444848031164,192.74463451029303
intel-manager,2026-01-03T06:29:00,97,18,19.035785,1.002055,563135,96.04723278610415,97.06430553059157,193.11153831669571
intel-manager,2026-01-03T06:29:01,97,19,20.037308,1.001523,563135,95.11165859582115,99.19253129962554,194.3041898954467
intel-manager,2026-01-03T06:29:02,97,20,21.039359,1.002051,563135,97.3166224125159,98.92964292189572,196.24626533441162
intel-manager,2026-01-03T06:29:03,97,21,22.041417,1.002058,563135,95.25568202732185,99.06795625573741,194.32363828305927
intel-manager,2026-01-03T06:29:04,97,22,23.043456,1.002039,563135,94.10583194206417,99.56130716912995,193.6671391111941
intel-manager,2026-01-03T06:29:05,97,23,24.044755,1.001299,563135,94.0896649511421,100.13502105271289,194.22468600385497
intel-manager,2026-01-03T06:29:06,97,24,25.046124,1.00137,563135,95.35126896171734,99.43136239761012,194.78263135932747
intel-manager,2026-01-03T06:29:07,97,25,26.047615,1.001491,563135,95.01603945365353,96.99666320540462,192.01270265905816
intel-manager,2026-01-03T06:29:08,97,26,27.049124,1.001508,563135,95.2729701682552,100.33983792820459,195.6128080964598
intel-manager,2026-01-03T06:29:09,97,27,28.050635,1.001511,563135,95.76382141300054,99.39352045122637,195.1573418642269
intel-manager,2026-01-03T06:29:10,97,28,29.052141,1.001507,563135,94.46215790848598,100.57244289794659,195.03460080643256
intel-manager,2026-01-03T06:29:11,97,29,30.054148,1.002007,563135,94.17738227812546,97.8695470753212,192.04692935344667
intel-manager,2026-01-03T06:29:12,97,30,31.05614,1.001991,563135,95.37849547516619,98.42838331898304,193.8068787941492
intel-manager,2026-01-03T06:29:13,97,31,32.05817,1.00203,563135,95.9837641932531,101.38391986503538,197.3676840582885
intel-manager,2026-01-03T06:29:14,97,32,33.059668,1.001498,563135,95.68664076305544,100.39527442810694,196.08191519116238
intel-manager,2026-01-03T06:29:15,97,33,34.060749,1.001081,563135,94.2988624054373,99.94069629521874,194.23955870065606
intel-manager,2026-01-03T06:29:16,97,34,35.062342,1.001593,563135,94.59908841343047,98.33287617760303,192.93196459103348
intel-manager,2026-01-03T06:29:17,97,35,36.064333,1.001991,563135,94.85750775079647,98.76305254237836,193.62056029317483
intel-manager,2026-01-03T06:29:18,97,36,37.06635,1.002017,563135,95.99907571905435,99.4426847078115,195.44176042686584
intel-manager,2026-01-03T06:29:19,97,37,38.068401,1.002051,563135,96.223675114664,96.08108455031828,192.30475966498227
intel-manager,2026-01-03T06:29:20,97,38,39.070454,1.002053,563135,96.92933180232772,97.67675714317203,194.60608894549975
intel-manager,2026-01-03T06:29:21,97,39,40.072484,1.00203,563135,96.29734438584407,96.52204631791295,192.81939070375702
intel-manager,2026-01-03T06:29:22,97,40,41.074187,1.001703,563135,97.24338319328174,96.99728230897212,194.24066550225388
intel-manager,2026-01-03T06:29:23,97,41,42.075881,1.001694,563135,96.07386242947582,98.91511077963636,194.9889732091122
intel-manager,2026-01-03T06:29:24,97,42,43.076754,1.000873,563135,97.50052362718793,100.36812963608415,197.86865326327208
intel-manager,2026-01-03T06:29:25,97,43,44.078443,1.00169,563135,95.01627261994325,100.72895705432416,195.74522967426742
intel-manager,2026-01-03T06:29:26,97,44,45.079908,1.001465,563135,98.46247233806878,98.94558976171442,197.4080620997832
intel-manager,2026-01-03T06:29:27,97,45,46.081502,1.001595,563135,97.94848488430162,99.55553736927658,197.5040222535782
intel-manager,2026-01-03T06:29:28,97,46,47.08311,1.001608,563135,98.77954242863362,100.26951306768241,199.04905549631604
intel-manager,2026-01-03T06:29:29,97,47,48.084742,1.001632,563135,95.22490531857832,102.94428248668162,198.16918780525992
intel-manager,2026-01-03T06:29:30,97,48,49.086799,1.002057,563135,99.32728128314234,100.7876531878755,200.11493447101785
intel-manager,2026-01-03T06:29:31,97,49,50.088818,1.002018,563135,96.54590774927583,102.66239092347189,199.20829867274773
intel-manager,2026-01-03T06:29:32,97,50,51.090816,1.001998,563135,99.17422009576737,101.25647984969606,200.43069994546343
intel-manager,2026-01-03T06:29:33,97,51,52.092335,1.001519,563135,97.97279541705763,99.86475314884366,197.83754856590127
intel-manager,2026-01-03T06:29:34,97,52,53.093873,1.001538,563135,96.14080284572016,98.81862261803161,194.95942546375176
intel-manager,2026-01-03T06:29:35,97,53,54.095955,1.002082,563135,94.65015801143791,101.070977163197,195.72113517463492
intel-manager,2026-01-03T06:29:36,97,54,55.098026,1.002071,563135,95.98917876144488,102.31151729931756,198.30069606076245
intel-manager,2026-01-03T06:29:37,97,55,56.100027,1.002001,563135,97.75835392601276,103.63817412864547,201.39652805465823
intel-manager,2026-01-03T06:29:38,97,56,57.10152,1.001493,563135,96.84633572441041,101.69632196214367,198.5426576865541
intel-manager,2026-01-03T06:29:39,97,57,58.103024,1.001503,563135,98.88196417461273,100.73275357279252,199.61471774740525
intel-manager,2026-01-03T06:29:40,97,58,59.104744,1.001721,563135,98.90299289526055,100.75197940540104,199.6549723006616
intel-manager,2026-01-03T06:29:41,97,59,60.106268,1.001524,563135,96.45088559795863,101.67758600904945,198.12847160700807
