timestamp,load_name,sample_index,elapsed_s,dt_s,rapl_package_0_0_w,rapl_dram_0_0_w,rapl_package_1_1_w,rapl_dram_1_0_w,power_total_w
2025-12-17T05:49:30,idle,0,1.003697,1.003697,94.68837521962674,8.193716544291417,96.99606034562596,9.022345971282796,191.6844355652527
2025-12-17T05:49:31,idle,1,2.005355,1.001657,93.37368143381123,7.999320238999005,94.32187581493534,8.766338916308836,187.69555724874658
2025-12-17T05:49:32,idle,2,3.007166,1.001812,92.41856732766654,7.993843212255019,90.88552081362374,8.548442421141086,183.30408814129026
2025-12-17T05:49:33,idle,3,4.008937,1.001771,91.99756670831141,7.952445328415361,90.0930461091888,8.569945898674616,182.09061281750022
2025-12-17T05:49:34,idle,4,5.010796,1.001859,92.48705217505714,8.07727482692424,90.69424733644257,8.648005730830905,183.18129951149973
2025-12-17T05:49:35,idle,5,6.012753,1.001957,93.90486085003636,7.9553947721629354,95.46540096713204,8.679855047091834,189.3702618171684
2025-12-17T05:49:36,idle,6,7.014591,1.001838,92.9728230160523,8.083832095946418,90.95870741753237,8.606299940900692,183.93153043358467
2025-12-17T05:49:37,idle,7,8.016049,1.001458,91.57336780988763,7.913278224010403,90.58817362344203,8.519695820677022,182.16154143332966
2025-12-17T05:49:38,idle,8,9.01795,1.001901,92.93735333196169,8.068447596538734,91.1415779417492,8.674262995182849,184.0789312737109
2025-12-17T05:49:39,idle,9,10.019897,1.001946,91.97698546288895,7.954180590917527,90.5422820403325,8.524663175501635,182.51926750322144
2025-12-17T05:49:40,idle,10,11.02136,1.001463,91.33006215275397,8.032619872863826,92.80501204321357,8.595371468898623,184.13507419596755
2025-12-17T05:49:41,idle,11,12.022806,1.001446,91.32023115288776,7.976503906097774,91.88386713037069,8.579966294245102,183.20409828325845
2025-12-17T05:49:42,idle,12,13.024821,1.002015,93.06746845713621,8.247216919122595,93.1038331780841,8.737344256745812,186.17130163522032
2025-12-17T05:49:43,idle,13,14.02635,1.001529,110.38066503634474,8.994686175092925,106.7015472050178,9.135078484819024,217.08221224136253
2025-12-17T05:49:44,idle,14,15.028402,1.002052,96.41340104994137,8.380533565444315,94.49656262008624,8.748385882619871,190.9099636700276
2025-12-17T05:49:45,idle,15,16.030144,1.001742,92.234099709857,8.430224498875312,93.0835698271049,8.644342478684486,185.3176695369619
2025-12-17T05:49:46,idle,16,17.031739,1.001595,99.46079301666224,8.40363103794959,100.37376380971932,8.9420821974228,199.83455682638157
2025-12-17T05:49:47,idle,17,18.033761,1.002022,91.86871279642446,8.013864652184838,92.04243257159825,8.583066845138841,183.91114536802272
2025-12-17T05:49:48,idle,18,19.035781,1.002021,91.38749565858971,7.992986392015379,91.82179810816415,8.578924447070854,183.20929376675386
2025-12-17T05:49:49,idle,19,20.037757,1.001976,91.20845389265291,7.956083673770854,91.24969240480922,8.562189001652314,182.45814629746212
2025-12-17T05:49:50,idle,20,21.039675,1.001918,96.66296204292316,8.117088665647078,97.80737152258203,,194.4703335655052
2025-12-17T05:49:51,idle,21,22.041644,1.001969,92.33203510521513,7.946003321399499,92.58081135875767,8.588485516681851,184.9128464639728
2025-12-17T05:49:52,idle,22,23.043589,1.001945,91.12822316895212,7.962053757705421,91.56115700130329,8.54368433664163,182.6893801702554
2025-12-17T05:49:53,idle,23,24.045539,1.00195,91.09452933955093,7.905653773086055,91.01412113759984,8.522204483442765,182.10865047715077
2025-12-17T05:49:54,idle,24,25.046426,1.000887,91.3969546859659,8.030501695988947,92.01523917146372,8.66005818146962,183.4121938574296
2025-12-17T05:49:55,idle,25,26.047913,1.001487,91.0512829320573,8.044040295771495,92.25560537163697,8.648593459271428,183.30688830369428
2025-12-17T05:49:56,idle,26,27.049902,1.001989,93.80641356972156,8.106922241365083,93.2726252148613,8.68283082381909,187.07903878458285
2025-12-17T05:49:57,idle,27,28.05189,1.001988,92.76700730166594,8.13969781704366,91.93047726825554,8.64145934817955,184.69748456992147
2025-12-17T05:49:58,idle,28,29.053395,1.001505,110.71604284713534,9.193103932010006,109.37449837452299,9.290922678124028,220.09054122165833
2025-12-17T05:49:59,idle,29,30.055463,1.002068,95.51176658308846,8.524484002617193,97.44617614141592,8.66200560206977,192.9579427245044
2025-12-17T05:50:00,idle,30,31.057484,1.002021,91.60226717276699,8.456428912726857,93.09101494796161,8.607334884567413,184.6932821207286
2025-12-17T05:50:01,idle,31,32.059501,1.002017,91.65224148779804,8.274578998910242,95.91944145508813,8.660645295014424,187.57168294288618
2025-12-17T05:50:02,idle,32,33.061512,1.00201,93.20258859924391,8.199555061715987,93.93646325765692,8.696418195171907,187.13905185690083
2025-12-17T05:50:03,idle,33,34.062427,1.000915,91.13298971159718,7.885503366150073,90.84156937592297,8.519353361390824,181.97455908752016
2025-12-17T05:50:04,idle,34,35.063896,1.001469,91.2214231374555,8.002370343283422,91.11757168452921,8.537405431918609,182.33899482198473
2025-12-17T05:50:05,idle,35,36.06584,1.001945,96.27317776898293,8.039556744801853,95.14591777331182,8.614375984687063,191.41909554229477
2025-12-17T05:50:06,idle,36,37.067866,1.002026,93.2111987765112,8.080497184037027,96.67676408644235,8.68422113429972,189.88796286295354
2025-12-17T05:50:07,idle,37,38.069865,1.001999,91.32017674627684,7.932311981944884,91.17757875160535,8.520859673480324,182.4977554978822
2025-12-17T05:50:08,idle,38,39.071867,1.002002,92.24173097998073,8.006617744799831,90.32851324343653,8.532649628543169,182.57024422341726
2025-12-17T05:50:09,idle,39,40.073771,1.001904,91.88006037524873,7.885752442398787,90.80301208679268,8.531574789692288,182.68307246204142
2025-12-17T05:50:10,idle,40,41.075727,1.001956,92.72082315314228,8.049829806952511,93.33966740734276,8.65426624950137,186.06049056048505
2025-12-17T05:50:11,idle,41,42.077665,1.001938,91.3738818565569,7.978389047251438,92.46508698684215,8.568041239607627,183.83896884339907
2025-12-17T05:50:12,idle,42,43.078455,1.000789,94.84090521808027,8.186916216283771,93.9715984522449,8.73142637783027,188.81250367032516
2025-12-17T05:50:13,idle,43,44.079942,1.001487,103.26624499202865,8.655484214246739,108.4979555984402,9.276995165276844,211.76420059046885
2025-12-17T05:50:14,idle,44,45.081972,1.00203,96.16241845852451,8.226691750320024,99.27748371531877,9.110216865118183,195.43990217384328
2025-12-17T05:50:15,idle,45,46.084042,1.00207,93.43355420477918,8.10417476260925,92.33621963259073,9.151432990332111,185.7697738373699
2025-12-17T05:50:16,idle,46,47.086036,1.001994,94.17562972260805,8.148398951519118,95.07245953850162,8.855914240621015,189.24808926110967
2025-12-17T05:50:17,idle,47,48.088073,1.002037,91.34313639355418,7.951905480025325,91.89072605749388,8.642381112406898,183.23386245104805
2025-12-17T05:50:18,idle,48,49.090086,1.002014,91.325303985105,8.06970624318024,92.65837029388798,8.706937908477565,183.98367427899296
2025-12-17T05:50:19,idle,49,50.092016,1.00193,91.15643695611125,7.935026303804637,91.36507832834111,8.582374077977384,182.52151528445236
2025-12-17T05:50:20,idle,50,51.094045,1.002029,93.55124424563454,7.950611564983738,96.34050067083355,8.658666132071069,189.8917449164681
2025-12-17T05:50:21,idle,51,52.096286,1.002241,91.36712119578705,7.907477393181492,93.30521620184861,8.618741185676921,184.67233739763566
2025-12-17T05:50:22,idle,52,53.098245,1.001959,92.0100433353234,7.954373495446898,91.71441934701735,8.6453920605237,183.72446268234074
2025-12-17T05:50:23,idle,53,54.100214,1.001969,91.5591609436432,7.917827014389076,91.58571964692592,8.562247087438784,183.14488059056913
2025-12-17T05:50:24,idle,54,55.102067,1.001853,92.24571969177536,7.930804523194476,90.42402813519978,8.53394562165481,182.66974782697514
2025-12-17T05:50:25,idle,55,56.103957,1.001889,92.48580315516435,8.057806958860871,91.20678950461516,8.614089014768355,183.6925926597795
2025-12-17T05:50:26,idle,56,57.105892,1.001935,93.16386501387248,8.135450980860085,94.6015084807837,8.820315438013603,187.7653734946562
2025-12-17T05:50:27,idle,57,58.106933,1.001041,91.85759906324598,7.984792249879188,92.3502493635083,8.631370357918664,184.20784842675428
2025-12-17T05:50:28,idle,58,59.108983,1.00205,108.89088208252298,8.939365988563141,102.24881480861747,9.070097000063289,211.13969689114043
2025-12-17T05:50:29,idle,59,60.111022,1.00204,106.17604680236572,8.866655939507844,97.94919587117245,8.772537909319347,204.12524267353817
