timestamp,load_name,sample_index,elapsed_s,dt_s,rapl_package_0_0_w,rapl_dram_0_0_w,rapl_package_1_1_w,rapl_dram_1_0_w,power_total_w
2025-12-17T06:09:48,idle,0,1.00365,1.00365,97.21524685124318,7.868189748765149,102.57548768410604,10.420033430036714,199.7907345353492
2025-12-17T06:09:49,idle,1,2.005175,1.001525,91.73532436062855,7.758596570119401,89.68322217377252,9.813161002821673,181.41854653440106
2025-12-17T06:09:50,idle,2,3.006832,1.001657,92.41875135440196,7.780747939816036,91.52344645587364,9.935793038029615,183.94219781027562
2025-12-17T06:09:51,idle,3,4.008305,1.001474,90.04797642743826,7.716382635151893,90.52176422283426,9.797727429681096,180.56974065027254
2025-12-17T06:09:52,idle,4,5.010041,1.001736,88.71013664606842,7.726534468292688,88.6090561384163,9.860498556467011,177.31919278448473
2025-12-17T06:09:53,idle,5,6.01187,1.001828,89.12132595650993,7.722174369740683,88.4488503721129,9.848491051055076,177.57017632862284
2025-12-17T06:09:54,idle,6,7.013853,1.001983,88.37378919881475,7.7078189551977205,88.60258351631137,9.782195617038035,176.9763727151261
2025-12-17T06:09:55,idle,7,8.015271,1.001418,93.34712016923936,7.836410079440948,92.21993664364899,9.728417997076367,185.56705681288835
2025-12-17T06:09:56,idle,8,9.016763,1.001493,88.88789859169897,7.748105103476318,87.72325909417614,9.474290359899681,176.61115768587513
2025-12-17T06:09:57,idle,9,10.018555,1.001791,88.888099189226,7.783518859137368,87.88166395505182,9.48597535303608,176.76976314427782
2025-12-17T06:09:58,idle,10,11.020346,1.001791,88.21212601858673,7.742451420725843,87.7054056757179,9.45656104109246,175.9175316943046
2025-12-17T06:09:59,idle,11,12.022088,1.001742,88.71046232507675,7.748436258911165,88.27006854589442,9.580159169446196,176.98053087097117
2025-12-17T06:10:00,idle,12,13.023963,1.001875,89.14078457700106,7.754966181139312,87.82745428422321,9.49179334861782,176.96823886122428
2025-12-17T06:10:01,idle,13,14.02575,1.001786,89.7321661400777,7.8025250199036265,88.69386303784975,9.50066833711005,178.42602917792743
2025-12-17T06:10:02,idle,14,15.027723,1.001973,101.5315430235158,8.124397264989902,118.98449186091493,10.44160062264243,220.51603488443072
2025-12-17T06:10:03,idle,15,16.029223,1.0015,93.32661697010995,7.937345951601153,105.78049753399947,10.941262686891097,199.1071145041094
2025-12-17T06:10:04,idle,16,17.031211,1.001988,89.67302517484897,7.862076960085128,106.94345047208186,10.183672673747289,196.61647564693084
2025-12-17T06:10:05,idle,17,18.033077,1.001866,91.3777296022046,7.890755924166077,94.67966464114532,9.830039485171568,186.0573942433499
2025-12-17T06:10:06,idle,18,19.034582,1.001505,89.3643707308452,7.780290455898848,91.16512378105307,9.824950451015756,180.52949451189826
2025-12-17T06:10:07,idle,19,20.036372,1.00179,89.35962778889207,7.800373108168308,89.29870186366885,9.80744387925117,178.65832965256092
2025-12-17T06:10:08,idle,20,21.038165,1.001793,88.45807991612784,7.792137274755267,87.97414545058562,9.785015702786149,176.43222536671345
2025-12-17T06:10:09,idle,21,22.039943,1.001779,88.81019795100914,7.769551056289691,88.04898085371762,9.77244570266393,176.85917880472675
2025-12-17T06:10:10,idle,22,23.041799,1.001856,89.2621528140867,7.7628732699362795,87.92430765432042,9.745471863900041,177.18646046840712
2025-12-17T06:10:11,idle,23,24.043533,1.001733,88.77442801138432,7.760906996077184,88.37978804205471,9.882582489430865,177.15421605343903
2025-12-17T06:10:12,idle,24,25.045266,1.001733,88.58054906236187,7.748565387824658,87.89052408477394,9.786022856539,176.47107314713583
2025-12-17T06:10:13,idle,25,26.047009,1.001743,88.68092806153822,7.805441643619027,88.39992493896062,9.849386400691543,177.08085300049885
2025-12-17T06:10:14,idle,26,27.048978,1.001969,99.02806415372721,7.794464643805527,90.10022769085423,9.70891780878945,189.12829184458144
2025-12-17T06:10:15,idle,27,28.050467,1.001489,90.05895458698694,7.783651877937889,88.2310536284477,9.537326371740845,178.29000821543463
2025-12-17T06:10:16,idle,28,29.051596,1.001129,89.225439060631,7.786068357872275,88.04062189739369,9.428016351653712,177.2660609580247
2025-12-17T06:10:17,idle,29,30.053619,1.002023,98.54981951634666,8.033526154738748,117.49266052934874,10.631551635716013,216.0424800456954
2025-12-17T06:10:18,idle,30,31.055653,1.002034,93.18163232159627,7.823256895256654,106.32216914120873,10.890131029989043,199.503801462805
2025-12-17T06:10:19,idle,31,32.057704,1.002051,90.07618238791768,7.792204292611757,100.54844956325326,10.383421408224356,190.62463195117095
2025-12-17T06:10:20,idle,32,33.05959,1.001887,91.50450004139053,7.784656418807502,92.08458165581072,9.845366670037269,183.58908169720127
2025-12-17T06:10:21,idle,33,34.061588,1.001998,88.97977107167516,7.775959040575024,92.69883258131232,9.835919347632132,181.67860365298748
2025-12-17T06:10:22,idle,34,35.063553,1.001964,88.83156443323386,7.774539234112298,90.17285868778784,9.830843971642885,179.00442312102172
2025-12-17T06:10:23,idle,35,36.06549,1.001938,88.4095232506404,7.767386695664485,88.2504085556955,9.64544871050875,176.65993180633592
2025-12-17T06:10:24,idle,36,37.067369,1.001879,88.70273062511622,7.779218029629823,87.8525241433892,9.588868737893263,176.55525476850542
2025-12-17T06:10:25,idle,37,38.069259,1.00189,89.093941191938,7.765463856152635,88.22479703301293,9.787513812720478,177.31873822495095
2025-12-17T06:10:26,idle,38,39.071253,1.001993,88.86080348402251,7.767154667930627,88.13434843919572,9.693058995250631,176.99515192321823
2025-12-17T06:10:27,idle,39,40.073169,1.001916,88.57975424072492,7.773998549729912,88.74642690727929,9.905291138693205,177.3261811480042
2025-12-17T06:10:28,idle,40,41.075019,1.00185,88.22765453064208,7.7390028527847265,88.29034354792502,9.817655079736054,176.5179980785671
2025-12-17T06:10:29,idle,41,42.076865,1.001846,89.09528417612745,7.795629823598398,88.22786869701632,9.757979710556375,177.32315287314378
2025-12-17T06:10:30,idle,42,43.078815,1.00195,88.92991119770878,7.790560350786821,88.90810372803132,9.874273559976432,177.83801492574008
2025-12-17T06:10:31,idle,43,44.080812,1.001996,100.69740391110143,7.898875642305131,96.40806462801876,9.948488044594434,197.10546853912018
2025-12-17T06:10:32,idle,44,45.082316,1.001504,111.95372344121502,8.210388117775164,110.92792567315921,10.373201335644742,222.88164911437423
2025-12-17T06:10:33,idle,45,46.084379,1.002064,95.58437541764266,7.963969247502058,111.90295482013316,10.599601586428989,207.48733023777584
2025-12-17T06:10:34,idle,46,47.086447,1.002068,92.45385052694982,7.879303142792359,101.04970099008584,10.003583546561401,193.50355151703565
2025-12-17T06:10:35,idle,47,48.088485,1.002038,94.81496850885648,7.901740121638383,91.66307532204972,9.822948153850803,186.4780438309062
2025-12-17T06:10:36,idle,48,49.090532,1.002047,90.66792514305918,7.749787704700338,90.58764448254225,9.838109780102739,181.25556962560142
2025-12-17T06:10:37,idle,49,50.09166,1.001128,88.75155063199111,7.763288632344987,88.17365175339012,9.80500269046641,176.92520238538123
2025-12-17T06:10:38,idle,50,51.093759,1.002098,88.42872307249046,7.783332063761433,88.44425448259229,9.708026435382413,176.87297755508274
2025-12-17T06:10:39,idle,51,52.095794,1.002035,88.47106781021695,7.764140029249739,89.78022917014086,9.875283052209685,178.2512969803578
2025-12-17T06:10:40,idle,52,53.097769,1.001975,88.79617509932473,7.77911193631164,89.43833763699472,9.856588301552211,178.23451273631946
2025-12-17T06:10:41,idle,53,54.09974,1.00197,88.99759903802033,7.856234803263814,88.6408797937375,9.75775171470199,177.63847883175782
2025-12-17T06:10:42,idle,54,55.101056,1.001316,92.88350175813844,7.808375626742454,89.32770543698213,9.64231403440144,182.21120719512055
2025-12-17T06:10:43,idle,55,56.102564,1.001508,93.69375237778515,7.805424717023704,92.47848657507693,9.770544384410819,186.17223895286207
2025-12-17T06:10:44,idle,56,57.103993,1.001429,89.33107236687674,7.7802964714578655,88.57897535371458,9.51418618927843,177.9100477205913
2025-12-17T06:10:45,idle,57,58.105808,1.001815,88.88340583352496,7.758490413769912,88.12434822235481,9.484105106781074,177.0077540558798
2025-12-17T06:10:46,idle,58,59.106758,1.00095,88.88234486735124,7.750422490955127,88.12129012541773,9.473034430029369,177.00363499276898
2025-12-17T06:10:47,idle,59,60.108206,1.001447,117.47513589227626,8.40184684073942,100.32543894698901,10.399950184032184,217.80057483926527
