rps,input_size,y,power_std_w,n_samples
10,563135,400.14245641809873,5.801315181392798,60
11,940930,404.5644907911309,4.511298766575561,60
20,563135,433.44847743183817,9.4448332035557,60
21,940930,449.15707582527824,8.568492695217078,60
30,563135,486.63538308122196,11.850718444664093,60
30,940930,485.03899337735373,12.438260048569871,60
40,563135,531.134706167386,14.814148788980525,60
49,940930,573.0053708649534,19.795926158344134,60
50,563135,593.7906488069494,17.125386765019552,60
57,940930,610.4919138290535,14.267342996689258,60
