,price_cost,energy_cost
n,60.0,60.0
mean,8418.329561570015,435.9212679540017
std,620.7708538847063,26.817782404806625
p50,8528.48236434827,441.03151751088495
p75,8971.653282950065,460.56962710040307
p90,9100.21631367264,466.99572344554764
p95,9221.65756614693,467.85408457846324
p99,9428.4319643978,469.79298234951324
ci90_low,8286.497332593313,430.226013403126
ci90_high,8550.161790546717,441.61652250487737
min,7124.098468262838,383.52082893899694
max,9534.661425127688,470.3377190978091
