,price_cost,energy_cost
n,99.0,99.0
mean,8398.34067028418,438.72561114151
std,620.8883986639777,24.516332257470115
p50,8507.919011434864,444.2553084809881
p75,8914.356519183935,461.21907461129365
p90,9136.268001182845,466.6246066797567
p95,9306.004633626266,468.3330112483542
p99,9563.202155824703,474.6280455589742
ci90_low,8295.689985691386,434.67235729532933
ci90_high,8500.991354876975,442.77886498769067
min,6587.066603917587,386.84578203672754
max,9717.308068197022,474.80687813260596
