file,optimizer_objective,run_date,run_time,price_cost,energy_cost,duration,feasible,price_regret,energy_regret
bo_results_energy_20260105_035853.json,energy,20260105,035853,7124.098468262838,394.7963706245306,2.9952061884105206,True,1.0815282274549731,1.029400076435815
bo_results_energy_20260105_061317.json,energy,20260105,061317,7308.213594349511,388.80435091571366,2.809305502101779,True,1.1094792316207993,1.013776362528558
bo_results_energy_20260105_075601.json,energy,20260105,075601,7838.292545544908,383.52082893899694,2.683346384204924,True,1.189951918944188,1.0
bo_results_energy_20260105_094046.json,energy,20260105,094046,7775.157838171123,386.7549233339145,2.7003054269589484,True,1.1803672720641587,1.0084326434208661
bo_results_energy_20260105_130037.json,energy,20260105,130037,7368.336409350507,401.23268341137987,2.3115495783276856,True,1.118606635155058,1.046182249139851
bo_results_price_20260105_051239.json,price,20260105,051239,7437.488589149708,401.0408184783474,2.6835973262786865,True,1.1291048104366126,1.0456819766160268
bo_results_price_20260105_070411.json,price,20260105,070411,7430.019766747348,397.5718188199386,2.9042499028146267,True,1.1279709487571332,1.0366368364394014
bo_results_price_20260105_084828.json,price,20260105,084828,7151.220542016388,393.15628520815187,2.5963881267234683,True,1.0856457011931953,1.0251236844053848
bo_results_price_20260105_103344.json,price,20260105,103344,6587.066603917587,389.781065783341,2.7894374430179596,True,1.0,1.016323068714841
bo_results_price_20260105_120733.json,price,20260105,120733,7523.150729405598,411.4502767978681,2.8404408702626824,True,1.1421094064740875,1.0728238096901737
